target_id,extent_x,extent_y,extent_z,min_extent,mid_extent,max_extent,surface_area,volume,watertight,euler_number
UB40-T001,40.0,39.987568,50.0,39.987568,40.0,50.0,8113.420351,55222.668192,True,2
UB40-T002,0.5625,0.508725,0.0066,0.0066,0.508725,0.5625,0.586456,0.001889,True,2
UB40-T003,0.562325,0.5625,0.2262,0.2262,0.562325,0.5625,0.896491,0.056189,True,2
UB40-T004,0.75,0.375,0.0938,0.0938,0.375,0.75,0.771687,0.026061,True,2
UB40-T005,0.542048,0.558572,0.0758,0.0758,0.542048,0.558572,0.528982,0.013257,True,-4
UB40-T006,80.0,50.0,30.0,30.0,50.0,80.0,17056.702135,110579.127637,True,0
UB40-T007,120.0,40.0,18.0,18.0,40.0,120.0,14386.830015,64880.607296,True,-4
UB40-T008,0.75,0.75,0.6,0.6,0.75,0.75,2.084117,0.174375,True,2
UB40-T009,0.5625,0.562325,0.1388,0.1388,0.562325,0.5625,0.50411,0.001257,True,0
UB40-T010,0.5625,0.250725,0.1355,0.1355,0.250725,0.5625,0.336088,0.003709,True,2
UB40-T011,0.043119,0.042037,0.75,0.042037,0.043119,0.75,0.103568,0.001059,True,2
UB40-T012,0.5625,0.46875,0.0375,0.0375,0.46875,0.5625,0.62117,0.008622,True,2
UB40-T013,0.5625,0.12375,0.1014,0.1014,0.12375,0.5625,0.260907,0.00672,True,2
UB40-T014,0.24282,0.24282,0.08,0.08,0.24282,0.24282,0.164099,0.003956,True,2
UB40-T015,100.0,80.0,100.0,80.0,100.0,100.0,38863.649036,613463.064328,True,2
UB40-T016,25.4,6.7564,25.4,6.7564,25.4,25.4,1504.068831,1523.145017,True,-12
UB40-T017,150.0,250.0,16.0,16.0,150.0,250.0,89402.512943,585477.823039,True,-6
UB40-T018,15.999996,56.590149,163.785583,15.999996,56.590149,163.785583,8978.390173,32084.703951,True,0
UB40-T019,107.950005,25.4,76.200005,25.4,76.200005,107.950005,27244.296933,194154.855323,True,-2
UB40-T020,76.200005,50.799999,152.400009,50.799999,76.200005,152.400009,52903.124225,491611.979066,True,2
UB40-T021,120.0,21.0,40.0,21.0,40.0,120.0,15756.439972,7543.213691,True,-16
UB40-T022,299.753769,15.0,276.716637,15.0,276.716637,299.753769,101265.685425,587742.19935,True,0
UB40-T023,108.0,10.700001,53.100002,10.700001,53.100002,108.0,12784.867358,10705.129366,True,-12
UB40-T024,193.763092,160.0,10.0,10.0,160.0,193.763092,48846.171332,184659.744477,True,-14
UB40-T025,230.0,45.0,130.0,45.0,130.0,230.0,117443.595095,254896.550657,True,2
UB40-T026,10.5,12.954622,10.5,10.5,10.5,12.954622,414.008896,407.028814,True,2
UB40-T027,8.700333,8.629978,8.62999,8.629978,8.62999,8.700333,359.21966,55.870311,True,2
UB40-T028,59.962769,55.865093,30.632446,30.632446,55.865093,59.962769,11381.569802,48860.502043,True,0
UB40-T029,228.600006,79.375,228.600037,79.375,228.600006,228.600037,126564.275696,1402607.410864,True,-14
UB40-T030,110.0,85.0,55.0,55.0,85.0,110.0,29106.362851,164346.374089,True,0
UB40-T031,44.450002,381.0,158.75,44.450002,158.75,381.0,139179.213758,416309.912452,True,-6
UB40-T032,138.562614,123.805828,32.030525,32.030525,123.805828,138.562614,24895.264873,148155.057423,True,2
UB40-T033,420.000023,260.000008,325.0,260.000008,325.0,420.000023,351600.073547,3210000.732422,True,6
UB40-T034,120.0,170.0,15.0,15.0,120.0,170.0,41856.005318,246241.54706,True,-2
UB40-T035,59.212486,27.940002,59.212479,27.940002,59.212479,59.212486,10229.243457,46816.318849,True,2
UB40-T036,49.052483,5.080009,49.052475,5.080009,49.052475,49.052483,2204.061735,2798.158708,True,0
UB40-T037,35.0,70.0,20.0,20.0,35.0,70.0,6916.467844,6100.513526,True,-8
UB40-T038,50.799999,50.799999,101.599998,50.799999,50.799999,101.599998,22453.358339,151580.337939,True,2
UB40-T039,127.000008,50.799999,50.799999,50.799999,50.799999,127.000008,32531.083852,225898.11022,True,-2
UB40-T040,79.856903,50.0,40.0,40.0,50.0,79.856903,14539.964925,71610.068539,True,0
