target_code,beginner_code,intermediate_code,expert_code,model_file
UB40-T001,UB40-B001,UB40-I001,UB40-E001,target_001_0037_00375480.stl
UB40-T002,UB40-B002,UB40-I002,UB40-E002,target_002_0025_00258327.stl
UB40-T003,UB40-B003,UB40-I003,UB40-E003,target_003_0021_00210484.stl
UB40-T004,UB40-B004,UB40-I004,UB40-E004,target_005_0012_00122664.stl
UB40-T005,UB40-B005,UB40-I005,UB40-E005,target_006_0070_00704169.stl
UB40-T006,UB40-B006,UB40-I006,UB40-E006,target_008_0055_00554387.stl
UB40-T007,UB40-B007,UB40-I007,UB40-E007,target_010_0087_00876776.stl
UB40-T008,UB40-B008,UB40-I008,UB40-E008,target_011_0057_00576517.stl
UB40-T009,UB40-B009,UB40-I009,UB40-E009,target_014_0042_00423751.stl
UB40-T010,UB40-B010,UB40-I010,UB40-E010,target_015_0097_00974300.stl
UB40-T011,UB40-B011,UB40-I011,UB40-E011,target_017_0032_00320076.stl
UB40-T012,UB40-B012,UB40-I012,UB40-E012,target_027_0016_00169101.stl
UB40-T013,UB40-B013,UB40-I013,UB40-E013,target_031_0018_00187312.stl
UB40-T014,UB40-B014,UB40-I014,UB40-E014,target_038_0028_00289192.stl
UB40-T015,UB40-B015,UB40-I015,UB40-E015,easy.stl
UB40-T016,UB40-B016,UB40-I016,UB40-E016,mediumx.stl
UB40-T017,UB40-B017,UB40-I017,UB40-E017,easy3.stl
UB40-T018,UB40-B018,UB40-I018,UB40-E018,easy4.stl
UB40-T019,UB40-B019,UB40-I019,UB40-E019,easy5.stl
UB40-T020,UB40-B020,UB40-I020,UB40-E020,easy6.stl
UB40-T021,UB40-B021,UB40-I021,UB40-E021,hard.stl
UB40-T022,UB40-B022,UB40-I022,UB40-E022,hard10.stl
UB40-T023,UB40-B023,UB40-I023,UB40-E023,hardx.stl
UB40-T024,UB40-B024,UB40-I024,UB40-E024,hard3.stl
UB40-T025,UB40-B025,UB40-I025,UB40-E025,hard4.stl
UB40-T026,UB40-B026,UB40-I026,UB40-E026,hard5.stl
UB40-T027,UB40-B027,UB40-I027,UB40-E027,hard6.stl
UB40-T028,UB40-B028,UB40-I028,UB40-E028,hard7.stl
UB40-T029,UB40-B029,UB40-I029,UB40-E029,hard8.stl
UB40-T030,UB40-B030,UB40-I030,UB40-E030,hard9.stl
UB40-T031,UB40-B031,UB40-I031,UB40-E031,medium.stl
UB40-T032,UB40-B032,UB40-I032,UB40-E032,medium10.stl
UB40-T033,UB40-B033,UB40-I033,UB40-E033,medium2.stl
UB40-T034,UB40-B034,UB40-I034,UB40-E034,medium3.stl
UB40-T035,UB40-B035,UB40-I035,UB40-E035,medium4.stl
UB40-T036,UB40-B036,UB40-I036,UB40-E036,medium5.stl
UB40-T037,UB40-B037,UB40-I037,UB40-E037,medium6.stl
UB40-T038,UB40-B038,UB40-I038,UB40-E038,medium7.stl
UB40-T039,UB40-B039,UB40-I039,UB40-E039,medium8.stl
UB40-T040,UB40-B040,UB40-I040,UB40-E040,medium9.stl
