method,display_method,cohort,round,round_index,mean_cd,mean_hd,valid_outputs,success_from_audit,attempts,per_sample_csv
DeepSeek,DeepSeek-v4 Flash,Open-loop Workflow,One-shot,0,0.0874583043788199,0.2708010504533124,91,91,120,results/raw_metrics/geometry/per_sample/open_loop/one-shot/deepseek_per_sample.csv
DeepSeek,DeepSeek-v4 Flash,Open-loop Workflow,Iteration1,1,0.03884158193811198,0.144295203860607,97,97,120,results/raw_metrics/geometry/per_sample/open_loop/iteration1/deepseek_per_sample.csv
DeepSeek,DeepSeek-v4 Flash,Open-loop Workflow,Iteration2,2,0.03370792755125086,0.13658154623378038,88,88,120,results/raw_metrics/geometry/per_sample/open_loop/iteration2/deepseek_per_sample.csv
DeepSeek,DeepSeek-v4 Flash,Open-loop Workflow,Iteration3,3,0.03067556619362045,0.14177837604327387,94,94,120,results/raw_metrics/geometry/per_sample/open_loop/iteration3/deepseek_per_sample.csv
Codex-MCP,Codex-MCP,Open-loop Workflow,One-shot,0,0.030804434488362075,0.12779385864697523,120,120,120,results/raw_metrics/geometry/per_sample/open_loop/one-shot/codex-mcp_per_sample.csv
Codex-MCP,Codex-MCP,Open-loop Workflow,Iteration1,1,0.03397937222634387,0.13566796261919725,120,120,120,results/raw_metrics/geometry/per_sample/open_loop/iteration1/codex-mcp_per_sample.csv
Codex-MCP,Codex-MCP,Open-loop Workflow,Iteration2,2,0.032981509091502915,0.1342600231302024,120,120,120,results/raw_metrics/geometry/per_sample/open_loop/iteration2/codex-mcp_per_sample.csv
Codex-MCP,Codex-MCP,Open-loop Workflow,Iteration3,3,0.03617034903245737,0.14102925312281592,120,120,120,results/raw_metrics/geometry/per_sample/open_loop/iteration3/codex-mcp_per_sample.csv
Text-to-CadQuery,Text-to-CadQuery,Open-loop Workflow,One-shot,0,0.08866356031832448,0.28611257977261745,89,89,120,results/raw_metrics/geometry/per_sample/open_loop/one-shot/text-to-cadquery_per_sample.csv
Text-to-CadQuery,Text-to-CadQuery,Open-loop Workflow,Iteration1,1,0.08655546157958112,0.282821698818728,88,88,120,results/raw_metrics/geometry/per_sample/open_loop/iteration1/text-to-cadquery_per_sample.csv
Text-to-CadQuery,Text-to-CadQuery,Open-loop Workflow,Iteration2,2,0.08486209528876842,0.2694807930650887,95,95,120,results/raw_metrics/geometry/per_sample/open_loop/iteration2/text-to-cadquery_per_sample.csv
Text-to-CadQuery,Text-to-CadQuery,Open-loop Workflow,Iteration3,3,0.07951613064730033,0.2612849949900679,101,101,120,results/raw_metrics/geometry/per_sample/open_loop/iteration3/text-to-cadquery_per_sample.csv
Text2CAD,Text2CAD,Open-loop Workflow,One-shot,0,0.10223366257171525,0.31018853745739877,114,114,120,results/raw_metrics/geometry/per_sample/open_loop/one-shot/text2cad_per_sample.csv
Text2CAD,Text2CAD,Open-loop Workflow,Iteration1,1,0.09969633713689667,0.3047583372658703,114,114,120,results/raw_metrics/geometry/per_sample/open_loop/iteration1/text2cad_per_sample.csv
Text2CAD,Text2CAD,Open-loop Workflow,Iteration2,2,0.10940088445977429,0.3348006794274869,117,117,120,results/raw_metrics/geometry/per_sample/open_loop/iteration2/text2cad_per_sample.csv
Text2CAD,Text2CAD,Open-loop Workflow,Iteration3,3,0.09849398788317908,0.3095706937215466,115,115,120,results/raw_metrics/geometry/per_sample/open_loop/iteration3/text2cad_per_sample.csv
Claude,Claude,Close-loop Workflow,One-shot,0,0.03624618559406365,0.14217282679484763,112,112,120,results/raw_metrics/geometry/per_sample/close_loop/one-shot/claude_per_sample.csv
Claude,Claude,Close-loop Workflow,Iteration1,1,0.036421576641209104,0.1407217249205089,118,118,120,results/raw_metrics/geometry/per_sample/close_loop/iteration1/claude_per_sample.csv
Claude,Claude,Close-loop Workflow,Iteration2,2,0.037692470939416266,0.14579654494046823,120,120,120,results/raw_metrics/geometry/per_sample/close_loop/iteration2/claude_per_sample.csv
Claude,Claude,Close-loop Workflow,Iteration3,3,0.03687769040150911,0.14350165889981067,120,120,120,results/raw_metrics/geometry/per_sample/close_loop/iteration3/claude_per_sample.csv
ChatGPT,ChatGPT,Close-loop Workflow,One-shot,0,0.03937656974321385,0.14642770936935678,108,108,120,results/raw_metrics/geometry/per_sample/close_loop/one-shot/chatgpt_per_sample.csv
ChatGPT,ChatGPT,Close-loop Workflow,Iteration1,1,0.03682417107331808,0.13855920410726466,116,116,120,results/raw_metrics/geometry/per_sample/close_loop/iteration1/chatgpt_per_sample.csv
