"sample_id","ground_truth_path","prediction_path","compile_success","load_success","chamfer_distance","hausdorff_distance","watertight_pred","euler_pred","eecm","sphericity_pred","sphericity_discrepancy","rotation_aligned","alignment_chamfer_distance","model","method_context","prompt_set","round_name","round_slug","level","difficulty","position_in_level_file","position_in_prompt_file","target_code","uid","source_stl","prompt","word_count","char_count","reference_model_path"
"UB40-B001","data/reference_models/stl/UB40-T001.stl","generated_outputs_not_included_in_release/close_loop/iteration2/chatgpt_per_sample.csv","1","1","0.15443009786570974","0.2151783399562401","True","2.0","1.0","0.7857571012131336","0.07859708252903119","True","0.15443009786570974","chatgpt","Close-loop Workflow","Retained40 close-loop seed prompt set aligned to retained reference models","One-shot","one_shot","beginner","beginner","1","1","UB40-T001","UB40-T001","UB40-T001.stl","A tall circular frustum with a flat circular top and bottom, slightly wider at the top than at the base.","20","104","data/reference_models/stl/UB40-T001.stl"
"UB40-B002","data/reference_models/stl/UB40-T002.stl","generated_outputs_not_included_in_release/close_loop/iteration2/chatgpt_per_sample.csv","1","1","0.01949564758261555","0.06206141167817754","True","2.0","1.0","0.2618607224982285","0.13586710673018465","False","0.01949564758261555","chatgpt","Close-loop Workflow","Retained40 close-loop seed prompt set aligned to retained reference models","One-shot","one_shot","beginner","beginner","2","2","UB40-T002","UB40-T002","UB40-T002.stl","A very thin square plate with flat top and bottom faces and sharp straight edges.","15","81","data/reference_models/stl/UB40-T002.stl"
"UB40-B003","data/reference_models/stl/UB40-T003.stl","generated_outputs_not_included_in_release/close_loop/iteration2/chatgpt_per_sample.csv","1","1","0.036413971832435915","0.07599707057272087","True","2.0","1.0","0.734230495472166","0.05712199601564394","True","0.036413971832435915","chatgpt","Close-loop Workflow","Retained40 close-loop seed prompt set aligned to retained reference models","One-shot","one_shot","beginner","beginner","3","3","UB40-T003","UB40-T003","UB40-T003.stl","A short solid cylinder with a flat circular top and bottom.","11","59","data/reference_models/stl/UB40-T003.stl"
"UB40-B004","data/reference_models/stl/UB40-T004.stl","generated_outputs_not_included_in_release/close_loop/iteration2/chatgpt_per_sample.csv","1","1","0.04024041398013394","0.14671618531507197","True","2.0","1.0","0.5454340650909263","0.005424366057045216","True","0.04024041398013394","chatgpt","Close-loop Workflow","Retained40 close-loop seed prompt set aligned to retained reference models","One-shot","one_shot","beginner","beginner","4","4","UB40-T004","UB40-T004","UB40-T004.stl","A rectangular bar with a semicircular notch cut into one short side.","12","68","data/reference_models/stl/UB40-T004.stl"
"UB40-B005","data/reference_models/stl/UB40-T005.stl","generated_outputs_not_included_in_release/close_loop/iteration2/chatgpt_per_sample.csv","1","1","0.05684374636527332","0.3738918035913199","True","-4.0","1.0","0.4564104033683483","0.05567212104681957","True","0.05684374636527332","chatgpt","Close-loop Workflow","Retained40 close-loop seed prompt set aligned to retained reference models","One-shot","one_shot","beginner","beginner","5","5","UB40-T005","UB40-T005","UB40-T005.stl","A flat triangular mounting plate with three circular holes near its corners.","12","76","data/reference_models/stl/UB40-T005.stl"
"UB40-B006","data/reference_models/stl/UB40-T006.stl","generated_outputs_not_included_in_release/close_loop/iteration2/chatgpt_per_sample.csv","1","1","0.053319494570847996","0.11827646452988522","True","2.0","0.0","0.5885348648980909","0.06465258550497","False","0.053319494570847996","chatgpt","Close-loop Workflow","Retained40 close-loop seed prompt set aligned to retained reference models","One-shot","one_shot","beginner","beginner","6","6","UB40-T006","UB40-T006","UB40-T006.stl","A rectangular block with a circular recess on its top face.","11","59","data/reference_models/stl/UB40-T006.stl"
"UB40-B007","data/reference_models/stl/UB40-T007.stl","generated_outputs_not_included_in_release/close_loop/iteration2/chatgpt_per_sample.csv","1","1","0.0325846005588895","0.05948449437419416","True","-4.0","1.0","0.3713747121852043","0.1713700193212339","True","0.0325846005588895","chatgpt","Close-loop Workflow","Retained40 close-loop seed prompt set aligned to retained reference models","One-shot","one_shot","beginner","beginner","7","7","UB40-T007","UB40-T007","UB40-T007.stl","A thin tapered plate with three circular holes in a row.","11","56","data/reference_models/stl/UB40-T007.stl"
"UB40-B008","data/reference_models/stl/UB40-T008.stl","generated_outputs_not_included_in_release/close_loop/iteration2/chatgpt_per_sample.csv","1","1","0.065952845520262","0.14652101664194986","True","2.0","1.0","0.6449713952551166","0.07927255780681863","False","0.065952845520262","chatgpt","Close-loop Workflow","Retained40 close-loop seed prompt set aligned to retained reference models","One-shot","one_shot","beginner","beginner","8","8","UB40-T008","UB40-T008","UB40-T008.stl","A square pedestal with a stepped base and a pyramid-shaped top.","11","63","data/reference_models/stl/UB40-T008.stl"
"UB40-B009","data/reference_models/stl/UB40-T009.stl","generated_outputs_not_included_in_release/close_loop/iteration2/chatgpt_per_sample.csv","1","1","0.04959983743085053","0.11678296216667519","True","0.0","1.0","0.22633978354188752","0.11459928954832742","True","0.04959983743085053","chatgpt","Close-loop Workflow","Retained40 close-loop seed prompt set aligned to retained reference models","One-shot","one_shot","beginner","beginner","9","9","UB40-T009","UB40-T009","UB40-T009.stl","A thin circular ring with a hollow center.","8","42","data/reference_models/stl/UB40-T009.stl"
"UB40-B010","data/reference_models/stl/UB40-T010.stl","generated_outputs_not_included_in_release/close_loop/iteration2/chatgpt_per_sample.csv","1","1","0.10928321920709391","0.2858088835945159","True","2.0","1.0","0.3373756635862277","0.007405020989681821","False","0.10928321920709391","chatgpt","Close-loop Workflow","Retained40 close-loop seed prompt set aligned to retained reference models","One-shot","one_shot","beginner","beginner","10","10","UB40-T010","UB40-T010","UB40-T010.stl","A thin U-shaped frame with short feet at both lower ends.","11","57","data/reference_models/stl/UB40-T010.stl"
