"sample_id","ground_truth_path","prediction_path","compile_success","load_success","chamfer_distance","hausdorff_distance","watertight_pred","euler_pred","eecm","sphericity_pred","sphericity_discrepancy","rotation_aligned","alignment_chamfer_distance","model","method_context","prompt_set","round_name","round_slug","level","difficulty","position_in_level_file","position_in_prompt_file","target_code","uid","source_stl","prompt","word_count","char_count","reference_model_path"
"UB40-B001","data/reference_models/stl/UB40-T001.stl","generated_outputs_not_included_in_release/close_loop/iteration2/claude_per_sample.csv","1","1","0.07359572263812374","0.10609727526894427","True","2","1.0","0.842468345292393","0.021885838449771766","False","0.07359572263812374","claude","Close-loop Workflow","Retained40 close-loop seed prompt set aligned to retained reference models","One-shot","one_shot","beginner","beginner","1","1","UB40-T001","UB40-T001","UB40-T001.stl","A tall circular frustum with a flat circular top and bottom, slightly wider at the top than at the base.","20","104","data/reference_models/stl/UB40-T001.stl"
"UB40-B002","data/reference_models/stl/UB40-T002.stl","generated_outputs_not_included_in_release/close_loop/iteration2/claude_per_sample.csv","1","1","0.012701344978314393","0.05955425399363792","True","2","1.0","0.17130660963898672","0.04531299387094287","False","0.012701344978314393","claude","Close-loop Workflow","Retained40 close-loop seed prompt set aligned to retained reference models","One-shot","one_shot","beginner","beginner","2","2","UB40-T002","UB40-T002","UB40-T002.stl","A very thin square plate with flat top and bottom faces and sharp straight edges.","15","81","data/reference_models/stl/UB40-T002.stl"
"UB40-B003","data/reference_models/stl/UB40-T003.stl","generated_outputs_not_included_in_release/close_loop/iteration2/claude_per_sample.csv","1","1","0.05105731380857925","0.0880618510932884","True","2","1.0","0.6933852146648217","0.09796727682298823","True","0.05105731380857925","claude","Close-loop Workflow","Retained40 close-loop seed prompt set aligned to retained reference models","One-shot","one_shot","beginner","beginner","3","3","UB40-T003","UB40-T003","UB40-T003.stl","A short solid cylinder with a flat circular top and bottom.","11","59","data/reference_models/stl/UB40-T003.stl"
"UB40-B004","data/reference_models/stl/UB40-T004.stl","generated_outputs_not_included_in_release/close_loop/iteration2/claude_per_sample.csv","1","1","0.03473284318570079","0.09031789075157784","True","2","1.0","0.6378053741153784","0.0869469429674069","True","0.03473284318570079","claude","Close-loop Workflow","Retained40 close-loop seed prompt set aligned to retained reference models","One-shot","one_shot","beginner","beginner","4","4","UB40-T004","UB40-T004","UB40-T004.stl","A rectangular bar with a semicircular notch cut into one short side.","12","68","data/reference_models/stl/UB40-T004.stl"
"UB40-B005","data/reference_models/stl/UB40-T005.stl","generated_outputs_not_included_in_release/close_loop/iteration2/claude_per_sample.csv","1","1","0.07678347317412335","0.37354728348745353","True","-4","1.0","0.4312200778044489","0.08086244661071901","True","0.07678347317412335","claude","Close-loop Workflow","Retained40 close-loop seed prompt set aligned to retained reference models","One-shot","one_shot","beginner","beginner","5","5","UB40-T005","UB40-T005","UB40-T005.stl","A flat triangular mounting plate with three circular holes near its corners.","12","76","data/reference_models/stl/UB40-T005.stl"
"UB40-B006","data/reference_models/stl/UB40-T006.stl","generated_outputs_not_included_in_release/close_loop/iteration2/claude_per_sample.csv","1","1","0.02226713627455294","0.150629884081357","True","2","0.0","0.6915299835202512","0.03834253311719027","False","0.02226713627455294","claude","Close-loop Workflow","Retained40 close-loop seed prompt set aligned to retained reference models","One-shot","one_shot","beginner","beginner","6","6","UB40-T006","UB40-T006","UB40-T006.stl","A rectangular block with a circular recess on its top face.","11","59","data/reference_models/stl/UB40-T006.stl"
"UB40-B007","data/reference_models/stl/UB40-T007.stl","generated_outputs_not_included_in_release/close_loop/iteration2/claude_per_sample.csv","1","1","0.03696237541375538","0.09043121358990111","True","-4","1.0","0.33909001148963197","0.20365472001680623","True","0.03696237541375538","claude","Close-loop Workflow","Retained40 close-loop seed prompt set aligned to retained reference models","One-shot","one_shot","beginner","beginner","7","7","UB40-T007","UB40-T007","UB40-T007.stl","A thin tapered plate with three circular holes in a row.","11","56","data/reference_models/stl/UB40-T007.stl"
"UB40-B008","data/reference_models/stl/UB40-T008.stl","generated_outputs_not_included_in_release/close_loop/iteration2/claude_per_sample.csv","1","1","0.042701828002716366","0.09473738707032506","True","2","1.0","0.6808047628979804","0.04343919016395481","False","0.042701828002716366","claude","Close-loop Workflow","Retained40 close-loop seed prompt set aligned to retained reference models","One-shot","one_shot","beginner","beginner","8","8","UB40-T008","UB40-T008","UB40-T008.stl","A square pedestal with a stepped base and a pyramid-shaped top.","11","63","data/reference_models/stl/UB40-T008.stl"
"UB40-B009","data/reference_models/stl/UB40-T009.stl","generated_outputs_not_included_in_release/close_loop/iteration2/claude_per_sample.csv","1","1","0.04389217414920676","0.10285736194987165","True","0","1.0","0.3333448426231936","0.22160434862963346","True","0.04389217414920676","claude","Close-loop Workflow","Retained40 close-loop seed prompt set aligned to retained reference models","One-shot","one_shot","beginner","beginner","9","9","UB40-T009","UB40-T009","UB40-T009.stl","A thin circular ring with a hollow center.","8","42","data/reference_models/stl/UB40-T009.stl"
"UB40-B010","data/reference_models/stl/UB40-T010.stl","generated_outputs_not_included_in_release/close_loop/iteration2/claude_per_sample.csv","1","1","0.10035656347319857","0.38608696033479517","False","4","0.0","0.38260097859533804","0.03782029401942849","True","0.10035656347319857","claude","Close-loop Workflow","Retained40 close-loop seed prompt set aligned to retained reference models","One-shot","one_shot","beginner","beginner","10","10","UB40-T010","UB40-T010","UB40-T010.stl","A thin U-shaped frame with short feet at both lower ends.","11","57","data/reference_models/stl/UB40-T010.stl"
