"sample_id","ground_truth_path","prediction_path","compile_success","load_success","chamfer_distance","hausdorff_distance","watertight_pred","euler_pred","eecm","sphericity_pred","sphericity_discrepancy","rotation_aligned","alignment_chamfer_distance","model","method_context","prompt_set","round_name","round_slug","level","difficulty","position_in_level_file","position_in_prompt_file","target_code","uid","source_stl","prompt","word_count","char_count","reference_model_path"
"UB40-B001","data/reference_models/stl/UB40-T001.stl","generated_outputs_not_included_in_release/close_loop/iteration3/gemini_per_sample.csv","1","1","0.11608129046495269","0.15420360959394755","True","2.0","1.0","0.8187558686926224","0.04559831504954237","False","0.11608129046495269","gemini","Close-loop Workflow","Retained40 close-loop seed prompt set aligned to retained reference models","One-shot","one_shot","beginner","beginner","1","1","UB40-T001","UB40-T001","UB40-T001.stl","A tall circular frustum with a flat circular top and bottom, slightly wider at the top than at the base.","20","104","data/reference_models/stl/UB40-T001.stl"
"UB40-B002","data/reference_models/stl/UB40-T002.stl","generated_outputs_not_included_in_release/close_loop/iteration3/gemini_per_sample.csv","1","1","0.010930139157701583","0.055891755837984954","True","2.0","1.0","0.07000237228812736","0.05599124347991649","False","0.010930139157701583","gemini","Close-loop Workflow","Retained40 close-loop seed prompt set aligned to retained reference models","One-shot","one_shot","beginner","beginner","2","2","UB40-T002","UB40-T002","UB40-T002.stl","A very thin square plate with flat top and bottom faces and sharp straight edges.","15","81","data/reference_models/stl/UB40-T002.stl"
"UB40-B003","data/reference_models/stl/UB40-T003.stl","generated_outputs_not_included_in_release/close_loop/iteration3/gemini_per_sample.csv","1","1","0.07941359233269019","0.13018947311304577","True","2.0","1.0","0.5953113707867329","0.19604112070107704","True","0.07941359233269019","gemini","Close-loop Workflow","Retained40 close-loop seed prompt set aligned to retained reference models","One-shot","one_shot","beginner","beginner","3","3","UB40-T003","UB40-T003","UB40-T003.stl","A short solid cylinder with a flat circular top and bottom.","11","59","data/reference_models/stl/UB40-T003.stl"
"UB40-B004","data/reference_models/stl/UB40-T004.stl","generated_outputs_not_included_in_release/close_loop/iteration3/gemini_per_sample.csv","1","1","0.02637990637275378","0.1248631964236771","True","2.0","1.0","0.6266036948410633","0.07574526369309176","False","0.02637990637275378","gemini","Close-loop Workflow","Retained40 close-loop seed prompt set aligned to retained reference models","One-shot","one_shot","beginner","beginner","4","4","UB40-T004","UB40-T004","UB40-T004.stl","A rectangular bar with a semicircular notch cut into one short side.","12","68","data/reference_models/stl/UB40-T004.stl"
"UB40-B005","data/reference_models/stl/UB40-T005.stl","generated_outputs_not_included_in_release/close_loop/iteration3/gemini_per_sample.csv","1","1","0.06793021678982912","0.3831795196854659","True","-4.0","1.0","0.3584432765472161","0.1536392478679518","True","0.06793021678982912","gemini","Close-loop Workflow","Retained40 close-loop seed prompt set aligned to retained reference models","One-shot","one_shot","beginner","beginner","5","5","UB40-T005","UB40-T005","UB40-T005.stl","A flat triangular mounting plate with three circular holes near its corners.","12","76","data/reference_models/stl/UB40-T005.stl"
"UB40-B006","data/reference_models/stl/UB40-T006.stl","generated_outputs_not_included_in_release/close_loop/iteration3/gemini_per_sample.csv","1","1","0.02257255002832955","0.1264545109226777","True","2.0","0.0","0.6627599494491422","0.009572499046081262","False","0.02257255002832955","gemini","Close-loop Workflow","Retained40 close-loop seed prompt set aligned to retained reference models","One-shot","one_shot","beginner","beginner","6","6","UB40-T006","UB40-T006","UB40-T006.stl","A rectangular block with a circular recess on its top face.","11","59","data/reference_models/stl/UB40-T006.stl"
"UB40-B007","data/reference_models/stl/UB40-T007.stl","generated_outputs_not_included_in_release/close_loop/iteration3/gemini_per_sample.csv","0","0","","","","","","","","","","gemini","Close-loop Workflow","Retained40 close-loop seed prompt set aligned to retained reference models","One-shot","one_shot","beginner","beginner","7","7","UB40-T007","UB40-T007","UB40-T007.stl","A thin tapered plate with three circular holes in a row.","11","56","data/reference_models/stl/UB40-T007.stl"
"UB40-B008","data/reference_models/stl/UB40-T008.stl","generated_outputs_not_included_in_release/close_loop/iteration3/gemini_per_sample.csv","1","1","0.10835739182554667","0.32602999172234093","True","2.0","1.0","0.6234932985644877","0.10075065449744758","True","0.10835739182554667","gemini","Close-loop Workflow","Retained40 close-loop seed prompt set aligned to retained reference models","One-shot","one_shot","beginner","beginner","8","8","UB40-T008","UB40-T008","UB40-T008.stl","A square pedestal with a stepped base and a pyramid-shaped top.","11","63","data/reference_models/stl/UB40-T008.stl"
"UB40-B009","data/reference_models/stl/UB40-T009.stl","generated_outputs_not_included_in_release/close_loop/iteration3/gemini_per_sample.csv","1","1","0.045366741939972935","0.10848467553512153","True","0.0","1.0","0.3077915672021282","0.19605107320856807","True","0.045366741939972935","gemini","Close-loop Workflow","Retained40 close-loop seed prompt set aligned to retained reference models","One-shot","one_shot","beginner","beginner","9","9","UB40-T009","UB40-T009","UB40-T009.stl","A thin circular ring with a hollow center.","8","42","data/reference_models/stl/UB40-T009.stl"
"UB40-B010","data/reference_models/stl/UB40-T010.stl","generated_outputs_not_included_in_release/close_loop/iteration3/gemini_per_sample.csv","1","1","0.10941259280223828","0.3772040626737967","True","2.0","1.0","0.3033399648010395","0.04144071977487007","True","0.10941259280223828","gemini","Close-loop Workflow","Retained40 close-loop seed prompt set aligned to retained reference models","One-shot","one_shot","beginner","beginner","10","10","UB40-T010","UB40-T010","UB40-T010.stl","A thin U-shaped frame with short feet at both lower ends.","11","57","data/reference_models/stl/UB40-T010.stl"
