"sample_id","ground_truth_path","prediction_path","compile_success","load_success","chamfer_distance","hausdorff_distance","watertight_pred","euler_pred","eecm","sphericity_pred","sphericity_discrepancy","rotation_aligned","alignment_chamfer_distance","model","method_context","prompt_set","round_name","round_slug","level","difficulty","position_in_level_file","position_in_prompt_file","target_code","uid","source_stl","prompt","word_count","char_count","reference_model_path"
"UB40-B001","data/reference_models/stl/UB40-T001.stl","generated_outputs_not_included_in_release/close_loop/iteration3/qwen_per_sample.csv","1","1","0.11608129046495269","0.15420360959394755","True","2","1.0","0.8187558686926224","0.04559831504954237","False","0.11608129046495269","qwen","Close-loop Workflow","Retained40 close-loop seed prompt set aligned to retained reference models","One-shot","one_shot","beginner","beginner","1","1","UB40-T001","UB40-T001","UB40-T001.stl","A tall circular frustum with a flat circular top and bottom, slightly wider at the top than at the base.","20","104","data/reference_models/stl/UB40-T001.stl"
"UB40-B002","data/reference_models/stl/UB40-T002.stl","generated_outputs_not_included_in_release/close_loop/iteration3/qwen_per_sample.csv","1","1","0.01110760776099498","0.06012013105653761","True","2","1.0","0.1100324096123013","0.01596120615574255","False","0.01110760776099498","qwen","Close-loop Workflow","Retained40 close-loop seed prompt set aligned to retained reference models","One-shot","one_shot","beginner","beginner","2","2","UB40-T002","UB40-T002","UB40-T002.stl","A very thin square plate with flat top and bottom faces and sharp straight edges.","15","81","data/reference_models/stl/UB40-T002.stl"
"UB40-B003","data/reference_models/stl/UB40-T003.stl","generated_outputs_not_included_in_release/close_loop/iteration3/qwen_per_sample.csv","1","1","0.06730405720134516","0.11305206703763054","True","2","1.0","0.6402322599302044","0.15112023155760557","True","0.06730405720134516","qwen","Close-loop Workflow","Retained40 close-loop seed prompt set aligned to retained reference models","One-shot","one_shot","beginner","beginner","3","3","UB40-T003","UB40-T003","UB40-T003.stl","A short solid cylinder with a flat circular top and bottom.","11","59","data/reference_models/stl/UB40-T003.stl"
"UB40-B004","data/reference_models/stl/UB40-T004.stl","generated_outputs_not_included_in_release/close_loop/iteration3/qwen_per_sample.csv","1","1","0.04660789830653494","0.16781234883285054","True","2","1.0","0.5565853708787147","0.00572693973074323","True","0.04660789830653494","qwen","Close-loop Workflow","Retained40 close-loop seed prompt set aligned to retained reference models","One-shot","one_shot","beginner","beginner","4","4","UB40-T004","UB40-T004","UB40-T004.stl","A rectangular bar with a semicircular notch cut into one short side.","12","68","data/reference_models/stl/UB40-T004.stl"
"UB40-B005","data/reference_models/stl/UB40-T005.stl","generated_outputs_not_included_in_release/close_loop/iteration3/qwen_per_sample.csv","1","1","0.08238207383588012","0.3722927661956698","False","2","0.0","0.35620059943614957","0.15588192497901832","True","0.08238207383588012","qwen","Close-loop Workflow","Retained40 close-loop seed prompt set aligned to retained reference models","One-shot","one_shot","beginner","beginner","5","5","UB40-T005","UB40-T005","UB40-T005.stl","A flat triangular mounting plate with three circular holes near its corners.","12","76","data/reference_models/stl/UB40-T005.stl"
"UB40-B006","data/reference_models/stl/UB40-T006.stl","generated_outputs_not_included_in_release/close_loop/iteration3/qwen_per_sample.csv","1","1","0.06252223454868885","0.14046671247623893","True","2","0.0","0.5696736164586862","0.08351383394437473","False","0.06252223454868885","qwen","Close-loop Workflow","Retained40 close-loop seed prompt set aligned to retained reference models","One-shot","one_shot","beginner","beginner","6","6","UB40-T006","UB40-T006","UB40-T006.stl","A rectangular block with a circular recess on its top face.","11","59","data/reference_models/stl/UB40-T006.stl"
"UB40-B007","data/reference_models/stl/UB40-T007.stl","generated_outputs_not_included_in_release/close_loop/iteration3/qwen_per_sample.csv","1","1","0.04049884289852483","0.07127793024975258","True","-4","1.0","0.24229723072304346","0.30044750078339477","True","0.04049884289852483","qwen","Close-loop Workflow","Retained40 close-loop seed prompt set aligned to retained reference models","One-shot","one_shot","beginner","beginner","7","7","UB40-T007","UB40-T007","UB40-T007.stl","A thin tapered plate with three circular holes in a row.","11","56","data/reference_models/stl/UB40-T007.stl"
"UB40-B008","data/reference_models/stl/UB40-T008.stl","generated_outputs_not_included_in_release/close_loop/iteration3/qwen_per_sample.csv","1","1","0.05939061366587967","0.2262321842281408","True","2","1.0","0.5867035071061633","0.13754044595577197","False","0.05939061366587967","qwen","Close-loop Workflow","Retained40 close-loop seed prompt set aligned to retained reference models","One-shot","one_shot","beginner","beginner","8","8","UB40-T008","UB40-T008","UB40-T008.stl","A square pedestal with a stepped base and a pyramid-shaped top.","11","63","data/reference_models/stl/UB40-T008.stl"
"UB40-B009","data/reference_models/stl/UB40-T009.stl","generated_outputs_not_included_in_release/close_loop/iteration3/qwen_per_sample.csv","1","1","0.06996259805444849","0.1919336040476705","True","0","1.0","0.2037226021504048","0.0919821081568447","True","0.06996259805444849","qwen","Close-loop Workflow","Retained40 close-loop seed prompt set aligned to retained reference models","One-shot","one_shot","beginner","beginner","9","9","UB40-T009","UB40-T009","UB40-T009.stl","A thin circular ring with a hollow center.","8","42","data/reference_models/stl/UB40-T009.stl"
"UB40-B010","data/reference_models/stl/UB40-T010.stl","generated_outputs_not_included_in_release/close_loop/iteration3/qwen_per_sample.csv","1","1","0.08045012463752137","0.2477737228857673","True","2","1.0","0.40937885600249907","0.06459817142658952","True","0.08045012463752137","qwen","Close-loop Workflow","Retained40 close-loop seed prompt set aligned to retained reference models","One-shot","one_shot","beginner","beginner","10","10","UB40-T010","UB40-T010","UB40-T010.stl","A thin U-shaped frame with short feet at both lower ends.","11","57","data/reference_models/stl/UB40-T010.stl"
"UB40-B011","data/reference_models/stl/UB40-T011.stl","generated_outputs_not_included_in_release/close_loop/iteration3/qwen_per_sample.csv","1","1","0.018123217147066363","0.020346527079375697","True","2","1.0","0.35210792082153214","0.13294601200089906","True","0.018123217147066363","qwen","Close-loop Workflow","Retained40 close-loop seed prompt set aligned to retained reference models","One-shot","one_shot","beginner","beginner","11","11","UB40-T011","UB40-T011","UB40-T011.stl","A very thin straight cylindrical rod.","6","37","data/reference_models/stl/UB40-T011.stl"
"UB40-B012","data/reference_models/stl/UB40-T012.stl","generated_outputs_not_included_in_release/close_loop/iteration3/qwen_per_sample.csv","1","1","0.018520144183821884","0.09021358650464478","True","2","1.0","0.298632808111187","0.028724551822217392","False","0.018520144183821884","qwen","Close-loop Workflow","Retained40 close-loop seed prompt set aligned to retained reference models","One-shot","one_shot","beginner","beginner","12","12","UB40-T012","UB40-T012","UB40-T012.stl","A thin square plate with rounded corners and a circular pocket near one corner.","14","79","data/reference_models/stl/UB40-T012.stl"
"UB40-B013","data/reference_models/stl/UB40-T013.stl","generated_outputs_not_included_in_release/close_loop/iteration3/qwen_per_sample.csv","1","1","0.043801895870735096","0.0751262172355986","True","2","1.0","0.44107326469450775","0.21898848442736868","True","0.043801895870735096","qwen","Close-loop Workflow","Retained40 close-loop seed prompt set aligned to retained reference models","One-shot","one_shot","beginner","beginner","13","13","UB40-T013","UB40-T013","UB40-T013.stl","A long rounded-end bar with flat top and bottom faces.","10","54","data/reference_models/stl/UB40-T013.stl"
"UB40-B014","data/reference_models/stl/UB40-T014.stl","generated_outputs_not_included_in_release/close_loop/iteration3/qwen_per_sample.csv","1","1","0.1653000570754306","0.4764545320592157","True","2","1.0","0.4298461512724421","0.30730940836515097","True","0.1653000570754306","qwen","Close-loop Workflow","Retained40 close-loop seed prompt set aligned to retained reference models","One-shot","one_shot","beginner","beginner","14","14","UB40-T014","UB40-T014","UB40-T014.stl","A flat teardrop-shaped prism with one rounded end and one pointed end.","12","70","data/reference_models/stl/UB40-T014.stl"
"UB40-B015","data/reference_models/stl/UB40-T015.stl","generated_outputs_not_included_in_release/close_loop/iteration3/qwen_per_sample.csv","1","1","0.1373547858127355","0.31889444842562603","True","2","1.0","0.6584695943764326","0.23992299746404477","True","0.1373547858127355","qwen","Close-loop Workflow","Retained40 close-loop seed prompt set aligned to retained reference models","One-shot","one_shot","beginner","beginner","15","15","UB40-T015","UB40-T015","UB40-T015.stl","A short solid cylinder with one plain circular end and one concentric stepped circular end.","15","91","data/reference_models/stl/UB40-T015.stl"
"UB40-B016","data/reference_models/stl/UB40-T016.stl","generated_outputs_not_included_in_release/close_loop/iteration3/qwen_per_sample.csv","1","1","0.03008755619053194","0.10689860610034269","True","-10","0.0","0.4045048407301938","0.0211366110994054","True","0.03008755619053194","qwen","Close-loop Workflow","Retained40 close-loop seed prompt set aligned to retained reference models","One-shot","one_shot","beginner","beginner","16","16","UB40-T016","UB40-T016","UB40-T016.stl","A round flange plate with one large center hole, six smaller bolt holes around it, and a short cylindrical hub on the back.","23","123","data/reference_models/stl/UB40-T016.stl"
"UB40-B017","data/reference_models/stl/UB40-T017.stl","generated_outputs_not_included_in_release/close_loop/iteration3/qwen_per_sample.csv","1","1","0.022426987278126885","0.05401263143974678","True","-6","1.0","0.19941991926822533","0.17914587000980053","True","0.022426987278126885","qwen","Close-loop Workflow","Retained40 close-loop seed prompt set aligned to retained reference models","One-shot","one_shot","beginner","beginner","17","17","UB40-T017","UB40-T017","UB40-T017.stl","A thin rectangular plate with four circular corner holes.","9","57","data/reference_models/stl/UB40-T017.stl"
"UB40-B018","data/reference_models/stl/UB40-T018.stl","generated_outputs_not_included_in_release/close_loop/iteration3/qwen_per_sample.csv","1","1","0.005310364101293855","0.04083318741421235","True","0","1.0","0.5570990895184869","0.013242567755466395","True","0.005310364101293855","qwen","Close-loop Workflow","Retained40 close-loop seed prompt set aligned to retained reference models","One-shot","one_shot","beginner","beginner","18","18","UB40-T018","UB40-T018","UB40-T018.stl","A long cylindrical rod with a small cross-hole near one end.","11","60","data/reference_models/stl/UB40-T018.stl"
"UB40-B019","data/reference_models/stl/UB40-T019.stl","generated_outputs_not_included_in_release/close_loop/iteration3/qwen_per_sample.csv","1","1","0.0630293903480444","0.1768442126226532","True","2","0.0","0.3711761840895136","0.22399334694310857","True","0.0630293903480444","qwen","Close-loop Workflow","Retained40 close-loop seed prompt set aligned to retained reference models","One-shot","one_shot","beginner","beginner","19","19","UB40-T019","UB40-T019","UB40-T019.stl","A rounded-top rectangular plate with two holes near its upper corners.","11","70","data/reference_models/stl/UB40-T019.stl"
"UB40-B020","data/reference_models/stl/UB40-T020.stl","generated_outputs_not_included_in_release/close_loop/iteration3/qwen_per_sample.csv","1","1","0.040184704740331575","0.20004051551973367","True","2","1.0","0.591719715254027","0.022319305478665674","False","0.040184704740331575","qwen","Close-loop Workflow","Retained40 close-loop seed prompt set aligned to retained reference models","One-shot","one_shot","beginner","beginner","20","20","UB40-T020","UB40-T020","UB40-T020.stl","A tall rectangular block with a deep U-shaped slot cut into the top.","13","68","data/reference_models/stl/UB40-T020.stl"
"UB40-B021","data/reference_models/stl/UB40-T021.stl","generated_outputs_not_included_in_release/close_loop/iteration3/qwen_per_sample.csv","1","1","0.12412180305367278","0.3698892989188978","True","0","0.0","0.36201741099697343","0.2439680521862866","True","0.12412180305367278","qwen","Close-loop Workflow","Retained40 close-loop seed prompt set aligned to retained reference models","One-shot","one_shot","beginner","beginner","21","21","UB40-T021","UB40-T021","UB40-T021.stl","A bracket-like open frame with two end plates, a sloped top, a large round hole in the middle panel, and small mounting holes.","23","126","data/reference_models/stl/UB40-T021.stl"
"UB40-B022","data/reference_models/stl/UB40-T022.stl","generated_outputs_not_included_in_release/close_loop/iteration3/qwen_per_sample.csv","1","1","0.020170441896062107","0.10502457757132583","True","0","1.0","0.3074873207207775","0.027591054107391377","True","0.020170441896062107","qwen","Close-loop Workflow","Retained40 close-loop seed prompt set aligned to retained reference models","One-shot","one_shot","beginner","beginner","22","22","UB40-T022","UB40-T022","UB40-T022.stl","A thin three-lobed ring with a round hole in the center.","11","56","data/reference_models/stl/UB40-T022.stl"
"UB40-B023","data/reference_models/stl/UB40-T023.stl","generated_outputs_not_included_in_release/close_loop/iteration3/qwen_per_sample.csv","1","1","0.024176465402409475","0.07054539252627934","True","-12","1.0","0.3312898049623451","0.1475587743565123","True","0.024176465402409475","qwen","Close-loop Workflow","Retained40 close-loop seed prompt set aligned to retained reference models","One-shot","one_shot","beginner","beginner","23","23","UB40-T023","UB40-T023","UB40-T023.stl","A thin stepped mounting plate with one large center hole, four smaller holes around it, and one extra hole near each end.","22","121","data/reference_models/stl/UB40-T023.stl"
"UB40-B024","data/reference_models/stl/UB40-T024.stl","generated_outputs_not_included_in_release/close_loop/iteration3/qwen_per_sample.csv","1","1","0.0272266981138677","0.2321234338085921","True","-12","0.0","0.3030980138334178","0.017948838447723048","True","0.0272266981138677","qwen","Close-loop Workflow","Retained40 close-loop seed prompt set aligned to retained reference models","One-shot","one_shot","beginner","beginner","24","24","UB40-T024","UB40-T024","UB40-T024.stl","An asymmetric forked plate with five round mounting holes and two long parallel slots in the forked end.","18","104","data/reference_models/stl/UB40-T024.stl"
"UB40-B025","data/reference_models/stl/UB40-T025.stl","generated_outputs_not_included_in_release/close_loop/iteration3/qwen_per_sample.csv","1","1","0.044105850711861835","0.1182077492860646","True","2","1.0","0.26807847094365633","0.10254057668496208","True","0.044105850711861835","qwen","Close-loop Workflow","Retained40 close-loop seed prompt set aligned to retained reference models","One-shot","one_shot","beginner","beginner","25","25","UB40-T025","UB40-T025","UB40-T025.stl","A rounded rectangular hollow box with one large open side and one closed side.","14","78","data/reference_models/stl/UB40-T025.stl"
"UB40-B026","data/reference_models/stl/UB40-T026.stl","generated_outputs_not_included_in_release/close_loop/iteration3/qwen_per_sample.csv","1","1","0.058451060432285415","0.20350330177748138","True","2","1.0","0.6234909307789019","0.018050273144259","True","0.058451060432285415","qwen","Close-loop Workflow","Retained40 close-loop seed prompt set aligned to retained reference models","One-shot","one_shot","beginner","beginner","26","26","UB40-T026","UB40-T026","UB40-T026.stl","A screw-like part with a wide round head, a short cylindrical shaft, and a recessed polygonal socket in the top.","20","112","data/reference_models/stl/UB40-T026.stl"
"UB40-B027","data/reference_models/stl/UB40-T027.stl","generated_outputs_not_included_in_release/close_loop/iteration3/qwen_per_sample.csv","1","1","0.12404744167755286","0.4367963000373002","False","1","0.0","0.3562405062411526","0.1594920111928886","True","0.12404744167755286","qwen","Close-loop Workflow","Retained40 close-loop seed prompt set aligned to retained reference models","One-shot","one_shot","beginner","beginner","27","27","UB40-T027","UB40-T027","UB40-T027.stl","A helical coil spring.","4","22","data/reference_models/stl/UB40-T027.stl"
"UB40-B028","data/reference_models/stl/UB40-T028.stl","generated_outputs_not_included_in_release/close_loop/iteration3/qwen_per_sample.csv","1","1","0.04135612582698486","0.09810938081862204","True","0","1.0","0.419765595292902","0.14811091952658495","True","0.04135612582698486","qwen","Close-loop Workflow","Retained40 close-loop seed prompt set aligned to retained reference models","One-shot","one_shot","beginner","beginner","28","28","UB40-T028","UB40-T028","UB40-T028.stl","A hexagonal nut with a round hole through the middle.","10","53","data/reference_models/stl/UB40-T028.stl"
"UB40-B029","data/reference_models/stl/UB40-T029.stl","generated_outputs_not_included_in_release/close_loop/iteration3/qwen_per_sample.csv","1","1","0.042371910876268105","0.09311239757558365","True","-14","1.0","0.4238940547313767","0.054879777733143176","True","0.042371910876268105","qwen","Close-loop Workflow","Retained40 close-loop seed prompt set aligned to retained reference models","One-shot","one_shot","beginner","beginner","29","29","UB40-T029","UB40-T029","UB40-T029.stl","A round flange with eight small holes around the edge and a cylindrical hub on the back.","17","88","data/reference_models/stl/UB40-T029.stl"
"UB40-B030","data/reference_models/stl/UB40-T030.stl","generated_outputs_not_included_in_release/close_loop/iteration3/qwen_per_sample.csv","1","1","0.06009780997662795","0.2635015289487165","True","0","1.0","0.44323827768754903","0.055266819452706506","True","0.06009780997662795","qwen","Close-loop Workflow","Retained40 close-loop seed prompt set aligned to retained reference models","One-shot","one_shot","beginner","beginner","30","30","UB40-T030","UB40-T030","UB40-T030.stl","A bracket-like plate with a large cylindrical boss with a center hole, a smaller round hole in the plate, and a deep side opening at one end.","27","141","data/reference_models/stl/UB40-T030.stl"
"UB40-B031","data/reference_models/stl/UB40-T031.stl","generated_outputs_not_included_in_release/close_loop/iteration3/qwen_per_sample.csv","1","1","0.029526827343436462","0.12433433083099982","True","-6","1.0","0.2570246948971327","0.06329884263872326","True","0.029526827343436462","qwen","Close-loop Workflow","Retained40 close-loop seed prompt set aligned to retained reference models","One-shot","one_shot","beginner","beginner","31","31","UB40-T031","UB40-T031","UB40-T031.stl","A long thin L-shaped bracket with a broad flat panel, a narrow perpendicular flange running along one long edge, and four holes in that flange.","25","143","data/reference_models/stl/UB40-T031.stl"
"UB40-B032","data/reference_models/stl/UB40-T032.stl","generated_outputs_not_included_in_release/close_loop/iteration3/qwen_per_sample.csv","1","1","0.036087890076667434","0.09224106835835574","True","2","1.0","0.42796227505288603","0.1159285014289822","False","0.036087890076667434","qwen","Close-loop Workflow","Retained40 close-loop seed prompt set aligned to retained reference models","One-shot","one_shot","beginner","beginner","32","32","UB40-T032","UB40-T032","UB40-T032.stl","A five-pointed star plate with a short round raised center boss.","11","64","data/reference_models/stl/UB40-T032.stl"
"UB40-B033","data/reference_models/stl/UB40-T033.stl","generated_outputs_not_included_in_release/close_loop/iteration3/qwen_per_sample.csv","1","1","0.10539226608388413","0.18096128969958256","True","2","0.0","0.2925010592649696","0.006797933224021335","False","0.10539226608388413","qwen","Close-loop Workflow","Retained40 close-loop seed prompt set aligned to retained reference models","One-shot","one_shot","beginner","beginner","33","33","UB40-T033","UB40-T033","UB40-T033.stl","An open tray-like base with four upright corner posts.","9","54","data/reference_models/stl/UB40-T033.stl"
"UB40-B034","data/reference_models/stl/UB40-T034.stl","generated_outputs_not_included_in_release/close_loop/iteration3/qwen_per_sample.csv","1","1","0.03568970690634121","0.15761150802474022","True","-2","1.0","0.37916689080918914","0.07474047919305066","True","0.03568970690634121","qwen","Close-loop Workflow","Retained40 close-loop seed prompt set aligned to retained reference models","One-shot","one_shot","beginner","beginner","34","34","UB40-T034","UB40-T034","UB40-T034.stl","A rounded rectangular plate with two holes, one near each end.","11","62","data/reference_models/stl/UB40-T034.stl"
"UB40-B035","data/reference_models/stl/UB40-T035.stl","generated_outputs_not_included_in_release/close_loop/iteration3/qwen_per_sample.csv","1","1","0.07330736366147059","0.1820971530761892","True","2","1.0","0.479317777244946","0.13478178015919356","True","0.07330736366147059","qwen","Close-loop Workflow","Retained40 close-loop seed prompt set aligned to retained reference models","One-shot","one_shot","beginner","beginner","35","35","UB40-T035","UB40-T035","UB40-T035.stl","A solid round part made from three coaxial circular discs or rims overlapping around the same center.","17","101","data/reference_models/stl/UB40-T035.stl"
"UB40-B036","data/reference_models/stl/UB40-T036.stl","generated_outputs_not_included_in_release/close_loop/iteration3/qwen_per_sample.csv","1","1","0.01014278057075942","0.024670637005412943","True","0","1.0","0.4152041637804255","0.02048350207834687","True","0.01014278057075942","qwen","Close-loop Workflow","Retained40 close-loop seed prompt set aligned to retained reference models","One-shot","one_shot","beginner","beginner","36","36","UB40-T036","UB40-T036","UB40-T036.stl","A thin circular ring with a rounded cross-section.","8","50","data/reference_models/stl/UB40-T036.stl"
