"sample_id","ground_truth_path","prediction_path","compile_success","load_success","chamfer_distance","hausdorff_distance","watertight_pred","euler_pred","eecm","sphericity_pred","sphericity_discrepancy","rotation_aligned","alignment_chamfer_distance","model","method_context","prompt_set","round_name","round_slug","level","difficulty","position_in_level_file","position_in_prompt_file","target_code","uid","source_stl","prompt","word_count","char_count","reference_model_path"
"UB40-B001","data/reference_models/stl/UB40-T001.stl","generated_outputs_not_included_in_release/open_loop/iteration1/text-to-cadquery_per_sample.csv","1","1","0.1350331292077223","0.5227005967913954","True","0.0","0.0","0.36342913828470463","0.5009250454574601","True","0.1350331292077223","cadquery","Open-loop Workflow","Retained40 open-loop prompt set aligned to retained reference models","Iteration1","iteration1","beginner","beginner","1","1","UB40-T001","UB40-T001","UB40-T001.stl","A tall circular frustum with flat circular ends, a slightly wider top, and a smooth tapered side wall.","18","102","data/reference_models/stl/UB40-T001.stl"
"UB40-B002","data/reference_models/stl/UB40-T002.stl","generated_outputs_not_included_in_release/open_loop/iteration1/text-to-cadquery_per_sample.csv","1","1","0.015015235546435692","0.058709271493315104","True","2.0","1.0","0.2108989821161981","0.08490536634815424","False","0.015015235546435692","cadquery","Open-loop Workflow","Retained40 open-loop prompt set aligned to retained reference models","Iteration1","iteration1","beginner","beginner","2","2","UB40-T002","UB40-T002","UB40-T002.stl","A very thin square plate with flat parallel faces, straight edges, and sharp corners.","14","85","data/reference_models/stl/UB40-T002.stl"
"UB40-B003","data/reference_models/stl/UB40-T003.stl","generated_outputs_not_included_in_release/open_loop/iteration1/text-to-cadquery_per_sample.csv","0","0","","","","","","","","","","cadquery","Open-loop Workflow","Retained40 open-loop prompt set aligned to retained reference models","Iteration1","iteration1","beginner","beginner","3","3","UB40-T003","UB40-T003","UB40-T003.stl","A short solid cylinder with flat circular ends and a constant outer diameter.","13","77","data/reference_models/stl/UB40-T003.stl"
"UB40-B004","data/reference_models/stl/UB40-T004.stl","generated_outputs_not_included_in_release/open_loop/iteration1/text-to-cadquery_per_sample.csv","1","1","0.05303135168130661","0.25540019902138617","True","2.0","1.0","0.5483309420619509","0.002527489086020629","True","0.05303135168130661","cadquery","Open-loop Workflow","Retained40 open-loop prompt set aligned to retained reference models","Iteration1","iteration1","beginner","beginner","4","4","UB40-T004","UB40-T004","UB40-T004.stl","A rectangular bar with one centered semicircular notch cut through a short side.","13","80","data/reference_models/stl/UB40-T004.stl"
"UB40-B005","data/reference_models/stl/UB40-T005.stl","generated_outputs_not_included_in_release/open_loop/iteration1/text-to-cadquery_per_sample.csv","1","1","0.0687385231867082","0.3330339086381149","True","0.0","0.0","0.38571276351141753","0.12636976090375035","True","0.0687385231867082","cadquery","Open-loop Workflow","Retained40 open-loop prompt set aligned to retained reference models","Iteration1","iteration1","beginner","beginner","5","5","UB40-T005","UB40-T005","UB40-T005.stl","A flat rounded triangular plate with three circular holes, one near each corner.","13","80","data/reference_models/stl/UB40-T005.stl"
"UB40-B006","data/reference_models/stl/UB40-T006.stl","generated_outputs_not_included_in_release/open_loop/iteration1/text-to-cadquery_per_sample.csv","1","1","0.05048451147152862","0.17437406412748271","True","2.0","0.0","0.7322954782391254","0.07910802783606452","True","0.05048451147152862","cadquery","Open-loop Workflow","Retained40 open-loop prompt set aligned to retained reference models","Iteration1","iteration1","beginner","beginner","6","6","UB40-T006","UB40-T006","UB40-T006.stl","A rectangular block with one large circular blind recess opened from the top face.","14","82","data/reference_models/stl/UB40-T006.stl"
"UB40-B007","data/reference_models/stl/UB40-T007.stl","generated_outputs_not_included_in_release/open_loop/iteration1/text-to-cadquery_per_sample.csv","1","1","0.05887104296489373","0.22433242327058053","True","0.0","0.0","0.19735160041776215","0.3453931310886761","True","0.05887104296489373","cadquery","Open-loop Workflow","Retained40 open-loop prompt set aligned to retained reference models","Iteration1","iteration1","beginner","beginner","7","7","UB40-T007","UB40-T007","UB40-T007.stl","A thin tapered plate with three circular holes arranged in a straight row.","13","74","data/reference_models/stl/UB40-T007.stl"
"UB40-B008","data/reference_models/stl/UB40-T008.stl","generated_outputs_not_included_in_release/open_loop/iteration1/text-to-cadquery_per_sample.csv","1","1","0.14325441462057545","0.35449961579518174","True","2.0","1.0","0.426847137372741","0.29739681568919424","False","0.14325441462057545","cadquery","Open-loop Workflow","Retained40 open-loop prompt set aligned to retained reference models","Iteration1","iteration1","beginner","beginner","8","8","UB40-T008","UB40-T008","UB40-T008.stl","A square pedestal with a broad base, a smaller centered tier, and a pyramid-shaped top.","15","87","data/reference_models/stl/UB40-T008.stl"
"UB40-B009","data/reference_models/stl/UB40-T009.stl","generated_outputs_not_included_in_release/open_loop/iteration1/text-to-cadquery_per_sample.csv","1","1","0.06741582015701866","0.2271021202126441","True","0.0","1.0","0.3746869884075316","0.2629464944139715","True","0.06741582015701866","cadquery","Open-loop Workflow","Retained40 open-loop prompt set aligned to retained reference models","Iteration1","iteration1","beginner","beginner","9","9","UB40-T009","UB40-T009","UB40-T009.stl","A thin annular ring with a concentric circular opening through the center.","12","74","data/reference_models/stl/UB40-T009.stl"
"UB40-B010","data/reference_models/stl/UB40-T010.stl","generated_outputs_not_included_in_release/open_loop/iteration1/text-to-cadquery_per_sample.csv","1","1","0.09088166210399905","0.4066079537896554","True","2.0","1.0","0.16228103763870577","0.18249964693720377","True","0.09088166210399905","cadquery","Open-loop Workflow","Retained40 open-loop prompt set aligned to retained reference models","Iteration1","iteration1","beginner","beginner","10","10","UB40-T010","UB40-T010","UB40-T010.stl","A thin U-shaped open frame with a rectangular opening and short feet at the two lower ends.","17","91","data/reference_models/stl/UB40-T010.stl"
