"sample_id","ground_truth_path","prediction_path","compile_success","load_success","chamfer_distance","hausdorff_distance","watertight_pred","euler_pred","eecm","sphericity_pred","sphericity_discrepancy","model","method_context","prompt_set","round_name","round_slug","level","difficulty","position_in_level_file","position_in_prompt_file","target_code","uid","source_stl","prompt","word_count","char_count","reference_model_path","rotation_aligned","alignment_chamfer_distance"
"UB40-B001","data/reference_models/stl/UB40-T001.stl","generated_outputs_not_included_in_release/open_loop/iteration2/deepseek_per_sample.csv","0","0","","","","","","","","deepseek","Open-loop Workflow","Retained40 open-loop prompt set aligned to retained reference models","Iteration2","iteration2","beginner","beginner","1","1","UB40-T001","UB40-T001","UB40-T001.stl","A frustum-shaped solid about 50 units tall, with flat circular ends and a larger diameter at the top than at the bottom.","22","120","data/reference_models/stl/UB40-T001.stl","",""
"UB40-B002","data/reference_models/stl/UB40-T002.stl","generated_outputs_not_included_in_release/open_loop/iteration2/deepseek_per_sample.csv","1","1","0.009937061666595085","0.03060660140770549","True","2.0","1.0","0.12607313496967626","7.951920163240533e-05","deepseek","Open-loop Workflow","Retained40 open-loop prompt set aligned to retained reference models","Iteration2","iteration2","beginner","beginner","2","2","UB40-T002","UB40-T002","UB40-T002.stl","A very thin nearly square plate about 0.56 by 0.51 units in plan and only about 0.0066 units thick.","19","99","data/reference_models/stl/UB40-T002.stl","True","0.009937061666595085"
"UB40-B003","data/reference_models/stl/UB40-T003.stl","generated_outputs_not_included_in_release/open_loop/iteration2/deepseek_per_sample.csv","1","1","0.013622101877735255","0.04493070131501786","True","2.0","1.0","0.7950071020482234","0.003654610560413496","deepseek","Open-loop Workflow","Retained40 open-loop prompt set aligned to retained reference models","Iteration2","iteration2","beginner","beginner","3","3","UB40-T003","UB40-T003","UB40-T003.stl","A short solid cylinder about 0.56 units in diameter and about 0.23 units high, with flat circular ends.","18","103","data/reference_models/stl/UB40-T003.stl","False","0.013622101877735255"
"UB40-B004","data/reference_models/stl/UB40-T004.stl","generated_outputs_not_included_in_release/open_loop/iteration2/deepseek_per_sample.csv","1","1","0.010448701262373792","0.06382571700921104","True","2.0","1.0","0.5268376361511575","0.024020794996813977","deepseek","Open-loop Workflow","Retained40 open-loop prompt set aligned to retained reference models","Iteration2","iteration2","beginner","beginner","4","4","UB40-T004","UB40-T004","UB40-T004.stl","A solid rectangular bar about 0.75 units long, 0.375 units wide, and 0.0938 units thick, with one semicircular notch cut into a short side.","24","139","data/reference_models/stl/UB40-T004.stl","False","0.010448701262373792"
"UB40-B005","data/reference_models/stl/UB40-T005.stl","generated_outputs_not_included_in_release/open_loop/iteration2/deepseek_per_sample.csv","0","0","","","","","","","","deepseek","Open-loop Workflow","Retained40 open-loop prompt set aligned to retained reference models","Iteration2","iteration2","beginner","beginner","5","5","UB40-T005","UB40-T005","UB40-T005.stl","A thin triangular plate about 0.56 by 0.54 units in plan and about 0.0758 units thick, with three corner holes.","20","111","data/reference_models/stl/UB40-T005.stl","",""
"UB40-B006","data/reference_models/stl/UB40-T006.stl","generated_outputs_not_included_in_release/open_loop/iteration2/deepseek_per_sample.csv","1","1","0.02270190451640848","0.1857558940333404","False","2.0","0.0","0.6119697770620561","0.04121767334100479","deepseek","Open-loop Workflow","Retained40 open-loop prompt set aligned to retained reference models","Iteration2","iteration2","beginner","beginner","6","6","UB40-T006","UB40-T006","UB40-T006.stl","A rectangular block about 80 by 50 by 30 units overall, with one large circular blind recess opened from the top and offset toward one end.","26","139","data/reference_models/stl/UB40-T006.stl","True","0.02270190451640848"
"UB40-B007","data/reference_models/stl/UB40-T007.stl","generated_outputs_not_included_in_release/open_loop/iteration2/deepseek_per_sample.csv","1","1","0.027446609972121727","0.14847524197486228","True","-4.0","1.0","0.4460405144073858","0.09670421709905241","deepseek","Open-loop Workflow","Retained40 open-loop prompt set aligned to retained reference models","Iteration2","iteration2","beginner","beginner","7","7","UB40-T007","UB40-T007","UB40-T007.stl","A thin tapered plate about 120 units long, 40 units wide, and 18 units thick, with three circular holes aligned along its length.","23","129","data/reference_models/stl/UB40-T007.stl","False","0.027446609972121727"
"UB40-B008","data/reference_models/stl/UB40-T008.stl","generated_outputs_not_included_in_release/open_loop/iteration2/deepseek_per_sample.csv","1","1","0.029360694309429274","0.08278371465383903","True","2.0","1.0","0.7225404486858785","0.0017035043760567081","deepseek","Open-loop Workflow","Retained40 open-loop prompt set aligned to retained reference models","Iteration2","iteration2","beginner","beginner","8","8","UB40-T008","UB40-T008","UB40-T008.stl","A stepped square pedestal about 0.75 by 0.75 units in footprint and about 0.60 units tall, finished with a pyramid on top.","22","122","data/reference_models/stl/UB40-T008.stl","False","0.029360694309429274"
"UB40-B009","data/reference_models/stl/UB40-T009.stl","generated_outputs_not_included_in_release/open_loop/iteration2/deepseek_per_sample.csv","1","1","0.019802281047873113","0.05442064591345259","True","0.0","1.0","0.3263917679740987","0.21465127398053857","deepseek","Open-loop Workflow","Retained40 open-loop prompt set aligned to retained reference models","Iteration2","iteration2","beginner","beginner","9","9","UB40-T009","UB40-T009","UB40-T009.stl","A thin circular ring with an outer diameter of about 0.56 units and a concentric hole through the middle.","19","105","data/reference_models/stl/UB40-T009.stl","True","0.019802281047873113"
"UB40-B010","data/reference_models/stl/UB40-T010.stl","generated_outputs_not_included_in_release/open_loop/iteration2/deepseek_per_sample.csv","1","1","0.022929256650524883","0.07923565359062132","True","2.0","1.0","0.4047298723298035","0.05994918775389396","deepseek","Open-loop Workflow","Retained40 open-loop prompt set aligned to retained reference models","Iteration2","iteration2","beginner","beginner","10","10","UB40-T010","UB40-T010","UB40-T010.stl","A narrow U-shaped frame about 0.56 by 0.25 by 0.14 units overall, open on one side and ending in two short feet.","22","112","data/reference_models/stl/UB40-T010.stl","True","0.022929256650524883"
