"sample_id","ground_truth_path","prediction_path","compile_success","load_success","chamfer_distance","hausdorff_distance","watertight_pred","euler_pred","eecm","sphericity_pred","sphericity_discrepancy","model","method_context","prompt_set","round_name","round_slug","level","difficulty","position_in_level_file","position_in_prompt_file","target_code","uid","source_stl","prompt","word_count","char_count","reference_model_path","rotation_aligned","alignment_chamfer_distance"
"UB40-B001","data/reference_models/stl/UB40-T001.stl","generated_outputs_not_included_in_release/open_loop/iteration2/text2cad_per_sample.csv","0","0","","","","","","","","text2cad","Open-loop Workflow","Retained40 open-loop prompt set aligned to retained reference models","Iteration2","iteration2","beginner","beginner","1","1","UB40-T001","UB40-T001","UB40-T001.stl","A frustum-shaped solid about 50 units tall, with flat circular ends and a larger diameter at the top than at the bottom.","22","120","data/reference_models/stl/UB40-T001.stl","",""
"UB40-B002","data/reference_models/stl/UB40-T002.stl","generated_outputs_not_included_in_release/open_loop/iteration2/text2cad_per_sample.csv","1","1","0.017654756080503282","0.1265362183961694","True","2.0","1.0","0.12915361372756048","0.0031599979595166305","text2cad","Open-loop Workflow","Retained40 open-loop prompt set aligned to retained reference models","Iteration2","iteration2","beginner","beginner","2","2","UB40-T002","UB40-T002","UB40-T002.stl","A very thin nearly square plate about 0.56 by 0.51 units in plan and only about 0.0066 units thick.","19","99","data/reference_models/stl/UB40-T002.stl","False","0.017654756080503282"
"UB40-B003","data/reference_models/stl/UB40-T003.stl","generated_outputs_not_included_in_release/open_loop/iteration2/text2cad_per_sample.csv","1","1","0.21841110351880627","0.5078564946541018","True","2.0","1.0","0.44003990218119987","0.3513125893066101","text2cad","Open-loop Workflow","Retained40 open-loop prompt set aligned to retained reference models","Iteration2","iteration2","beginner","beginner","3","3","UB40-T003","UB40-T003","UB40-T003.stl","A short solid cylinder about 0.56 units in diameter and about 0.23 units high, with flat circular ends.","18","103","data/reference_models/stl/UB40-T003.stl","True","0.21841110351880627"
"UB40-B004","data/reference_models/stl/UB40-T004.stl","generated_outputs_not_included_in_release/open_loop/iteration2/text2cad_per_sample.csv","1","1","0.039641285914270186","0.13100763012918948","True","4.0","0.0","0.5184086913309219","0.03244973981704957","text2cad","Open-loop Workflow","Retained40 open-loop prompt set aligned to retained reference models","Iteration2","iteration2","beginner","beginner","4","4","UB40-T004","UB40-T004","UB40-T004.stl","A solid rectangular bar about 0.75 units long, 0.375 units wide, and 0.0938 units thick, with one semicircular notch cut into a short side.","24","139","data/reference_models/stl/UB40-T004.stl","True","0.039641285914270186"
"UB40-B005","data/reference_models/stl/UB40-T005.stl","generated_outputs_not_included_in_release/open_loop/iteration2/text2cad_per_sample.csv","1","1","0.12554339608897966","0.6372989433348061","True","2.0","0.0","0.4105810269109574","0.1015014975042105","text2cad","Open-loop Workflow","Retained40 open-loop prompt set aligned to retained reference models","Iteration2","iteration2","beginner","beginner","5","5","UB40-T005","UB40-T005","UB40-T005.stl","A thin triangular plate about 0.56 by 0.54 units in plan and about 0.0758 units thick, with three corner holes.","20","111","data/reference_models/stl/UB40-T005.stl","True","0.12554339608897966"
"UB40-B006","data/reference_models/stl/UB40-T006.stl","generated_outputs_not_included_in_release/open_loop/iteration2/text2cad_per_sample.csv","1","1","0.08454577887545724","0.20003620634073285","True","2.0","0.0","0.6772873937223354","0.024099943319274453","text2cad","Open-loop Workflow","Retained40 open-loop prompt set aligned to retained reference models","Iteration2","iteration2","beginner","beginner","6","6","UB40-T006","UB40-T006","UB40-T006.stl","A rectangular block about 80 by 50 by 30 units overall, with one large circular blind recess opened from the top and offset toward one end.","26","139","data/reference_models/stl/UB40-T006.stl","False","0.08454577887545724"
"UB40-B007","data/reference_models/stl/UB40-T007.stl","generated_outputs_not_included_in_release/open_loop/iteration2/text2cad_per_sample.csv","1","1","0.06720855235748897","0.17087546365608922","True","2.0","0.0","0.32923794791541494","0.21350678359102326","text2cad","Open-loop Workflow","Retained40 open-loop prompt set aligned to retained reference models","Iteration2","iteration2","beginner","beginner","7","7","UB40-T007","UB40-T007","UB40-T007.stl","A thin tapered plate about 120 units long, 40 units wide, and 18 units thick, with three circular holes aligned along its length.","23","129","data/reference_models/stl/UB40-T007.stl","True","0.06720855235748897"
"UB40-B008","data/reference_models/stl/UB40-T008.stl","generated_outputs_not_included_in_release/open_loop/iteration2/text2cad_per_sample.csv","1","1","0.1357871762171926","0.48925186453641395","True","2.0","1.0","0.8059959770082347","0.08175202394629943","text2cad","Open-loop Workflow","Retained40 open-loop prompt set aligned to retained reference models","Iteration2","iteration2","beginner","beginner","8","8","UB40-T008","UB40-T008","UB40-T008.stl","A stepped square pedestal about 0.75 by 0.75 units in footprint and about 0.60 units tall, finished with a pyramid on top.","22","122","data/reference_models/stl/UB40-T008.stl","False","0.1357871762171926"
"UB40-B009","data/reference_models/stl/UB40-T009.stl","generated_outputs_not_included_in_release/open_loop/iteration2/text2cad_per_sample.csv","1","1","0.04854942402557334","0.12749208340862236","True","0.0","1.0","0.3640656664472322","0.2523251724536721","text2cad","Open-loop Workflow","Retained40 open-loop prompt set aligned to retained reference models","Iteration2","iteration2","beginner","beginner","9","9","UB40-T009","UB40-T009","UB40-T009.stl","A thin circular ring with an outer diameter of about 0.56 units and a concentric hole through the middle.","19","105","data/reference_models/stl/UB40-T009.stl","True","0.04854942402557334"
"UB40-B010","data/reference_models/stl/UB40-T010.stl","generated_outputs_not_included_in_release/open_loop/iteration2/text2cad_per_sample.csv","1","1","0.07510747465720699","0.3875980360752221","True","2.0","1.0","0.6346248681229525","0.28984418354704294","text2cad","Open-loop Workflow","Retained40 open-loop prompt set aligned to retained reference models","Iteration2","iteration2","beginner","beginner","10","10","UB40-T010","UB40-T010","UB40-T010.stl","A narrow U-shaped frame about 0.56 by 0.25 by 0.14 units overall, open on one side and ending in two short feet.","22","112","data/reference_models/stl/UB40-T010.stl","True","0.07510747465720699"
"UB40-B011","data/reference_models/stl/UB40-T011.stl","generated_outputs_not_included_in_release/open_loop/iteration2/text2cad_per_sample.csv","1","1","0.015902249216396717","0.024231083631168472","True","2.0","1.0","0.2693046404192149","0.21574929240321628","text2cad","Open-loop Workflow","Retained40 open-loop prompt set aligned to retained reference models","Iteration2","iteration2","beginner","beginner","11","11","UB40-T011","UB40-T011","UB40-T011.stl","A very slender straight cylindrical pin about 0.75 units long and about 0.043 units in diameter, with flat ends and no head.","22","124","data/reference_models/stl/UB40-T011.stl","True","0.015902249216396717"
"UB40-B012","data/reference_models/stl/UB40-T012.stl","generated_outputs_not_included_in_release/open_loop/iteration2/text2cad_per_sample.csv","1","1","0.03199146842905562","0.1686779621739547","True","2.0","1.0","0.367111361666288","0.039754001732883626","text2cad","Open-loop Workflow","Retained40 open-loop prompt set aligned to retained reference models","Iteration2","iteration2","beginner","beginner","12","12","UB40-T012","UB40-T012","UB40-T012.stl","A thin rounded-corner plate about 0.56 by 0.47 units in plan and about 0.0375 units thick, with one large circular pocket near a corner.","24","136","data/reference_models/stl/UB40-T012.stl","False","0.03199146842905562"
"UB40-B013","data/reference_models/stl/UB40-T013.stl","generated_outputs_not_included_in_release/open_loop/iteration2/text2cad_per_sample.csv","1","1","0.05601165168937293","0.10945667850313312","True","2.0","1.0","0.19108677346270908","0.46897497565916735","text2cad","Open-loop Workflow","Retained40 open-loop prompt set aligned to retained reference models","Iteration2","iteration2","beginner","beginner","13","13","UB40-T013","UB40-T013","UB40-T013.stl","An elongated capsule-shaped prism about 0.56 units long, 0.124 units wide, and 0.101 units thick, with straight sides joined by rounded ends.","22","141","data/reference_models/stl/UB40-T013.stl","True","0.05601165168937293"
"UB40-B014","data/reference_models/stl/UB40-T014.stl","generated_outputs_not_included_in_release/open_loop/iteration2/text2cad_per_sample.csv","1","1","0.0915962494555696","0.34531473376017674","True","2.0","1.0","0.7049402160978873","0.03221534353970579","text2cad","Open-loop Workflow","Retained40 open-loop prompt set aligned to retained reference models","Iteration2","iteration2","beginner","beginner","14","14","UB40-T014","UB40-T014","UB40-T014.stl","A thin solid prism based on a teardrop outline, fitting within about 0.243 by 0.243 units and about 0.08 units in thickness.","22","124","data/reference_models/stl/UB40-T014.stl","True","0.0915962494555696"
"UB40-B015","data/reference_models/stl/UB40-T015.stl","generated_outputs_not_included_in_release/open_loop/iteration2/text2cad_per_sample.csv","1","1","0.2933715180122942","0.5409834093818876","True","2.0","1.0","0.354972639496953","0.5434199523435244","text2cad","Open-loop Workflow","Retained40 open-loop prompt set aligned to retained reference models","Iteration2","iteration2","beginner","beginner","15","15","UB40-T015","UB40-T015","UB40-T015.stl","A short solid cylinder with one plain circular end and one concentric stepped circular end.","15","91","data/reference_models/stl/UB40-T015.stl","True","0.2933715180122942"
"UB40-B016","data/reference_models/stl/UB40-T016.stl","generated_outputs_not_included_in_release/open_loop/iteration2/text2cad_per_sample.csv","1","1","0.0635129852499143","0.210924741768118","True","2.0","0.0","0.11289977190284325","0.31274167992675594","text2cad","Open-loop Workflow","Retained40 open-loop prompt set aligned to retained reference models","Iteration2","iteration2","beginner","beginner","16","16","UB40-T016","UB40-T016","UB40-T016.stl","A round flange plate about 25.4 units across and about 6.76 units deep, with one large center hole, six smaller bolt holes around it, and a short cylindrical hub on the back.","32","174","data/reference_models/stl/UB40-T016.stl","True","0.0635129852499143"
