"sample_id","ground_truth_path","prediction_path","compile_success","load_success","chamfer_distance","hausdorff_distance","watertight_pred","euler_pred","eecm","sphericity_pred","sphericity_discrepancy","rotation_aligned","alignment_chamfer_distance","model","method_context","prompt_set","round_name","round_slug","level","difficulty","position_in_level_file","position_in_prompt_file","target_code","uid","source_stl","prompt","word_count","char_count","reference_model_path"
"UB40-B001","data/reference_models/stl/UB40-T001.stl","generated_outputs_not_included_in_release/open_loop/iteration3/codex-mcp_per_sample.csv","1","1","0.014824195039906554","0.04738499536355416","True","2","1.0","0.8632106397336031","0.0011435440085616477","False","0.014824195039906554","codex_mcp","Open-loop Workflow","Retained40 open-loop prompt set aligned to retained reference models","Iteration3","iteration3","beginner","beginner","1","1","UB40-T001","UB40-T001","UB40-T001.stl","A vertically oriented circular frustum about 50 units tall, with a larger circular end of about 40 units in diameter and a slightly smaller circular end at the opposite side.","30","174","data/reference_models/stl/UB40-T001.stl"
"UB40-B002","data/reference_models/stl/UB40-T002.stl","generated_outputs_not_included_in_release/open_loop/iteration3/codex-mcp_per_sample.csv","1","1","0.009937061666595085","0.03060660140770549","True","2","1.0","0.12607313496967626","7.951920163240533e-05","True","0.009937061666595085","codex_mcp","Open-loop Workflow","Retained40 open-loop prompt set aligned to retained reference models","Iteration3","iteration3","beginner","beginner","2","2","UB40-T002","UB40-T002","UB40-T002.stl","A very thin plate with an almost square footprint of about 0.56 by 0.51 units and a thickness of only about 0.0066 units.","23","121","data/reference_models/stl/UB40-T002.stl"
"UB40-B003","data/reference_models/stl/UB40-T003.stl","generated_outputs_not_included_in_release/open_loop/iteration3/codex-mcp_per_sample.csv","1","1","0.013581607547770533","0.04526246098369217","True","2","1.0","0.7949871457011385","0.0036346542133285364","False","0.013581607547770533","codex_mcp","Open-loop Workflow","Retained40 open-loop prompt set aligned to retained reference models","Iteration3","iteration3","beginner","beginner","3","3","UB40-T003","UB40-T003","UB40-T003.stl","A short solid cylinder about 0.56 units in diameter and about 0.23 units high.","14","78","data/reference_models/stl/UB40-T003.stl"
"UB40-B004","data/reference_models/stl/UB40-T004.stl","generated_outputs_not_included_in_release/open_loop/iteration3/codex-mcp_per_sample.csv","1","1","0.01722472355089881","0.18782654262035972","True","2","1.0","0.54231244581046","0.008545985337511497","False","0.01722472355089881","codex_mcp","Open-loop Workflow","Retained40 open-loop prompt set aligned to retained reference models","Iteration3","iteration3","beginner","beginner","4","4","UB40-T004","UB40-T004","UB40-T004.stl","A solid rectangular bar about 0.75 units long, 0.375 units wide, and 0.0938 units thick, with a single semicircular notch removed from the middle of one short side.","28","164","data/reference_models/stl/UB40-T004.stl"
"UB40-B005","data/reference_models/stl/UB40-T005.stl","generated_outputs_not_included_in_release/open_loop/iteration3/codex-mcp_per_sample.csv","1","1","0.06699666723593956","0.3926826248995042","True","2","0.0","0.5321077956831388","0.020025271267970934","True","0.06699666723593956","codex_mcp","Open-loop Workflow","Retained40 open-loop prompt set aligned to retained reference models","Iteration3","iteration3","beginner","beginner","5","5","UB40-T005","UB40-T005","UB40-T005.stl","A thin triangular mounting plate spanning about 0.56 by 0.54 units in plan and about 0.0758 units thick.","18","104","data/reference_models/stl/UB40-T005.stl"
"UB40-B006","data/reference_models/stl/UB40-T006.stl","generated_outputs_not_included_in_release/open_loop/iteration3/codex-mcp_per_sample.csv","1","1","0.017927647145256752","0.1195409151896905","True","2","0.0","0.6617747589292","0.008587308526139092","False","0.017927647145256752","codex_mcp","Open-loop Workflow","Retained40 open-loop prompt set aligned to retained reference models","Iteration3","iteration3","beginner","beginner","6","6","UB40-T006","UB40-T006","UB40-T006.stl","A rectangular block about 80 by 50 by 30 units overall, with one large circular blind recess opened from the top face.","22","118","data/reference_models/stl/UB40-T006.stl"
"UB40-B007","data/reference_models/stl/UB40-T007.stl","generated_outputs_not_included_in_release/open_loop/iteration3/codex-mcp_per_sample.csv","1","1","0.020898787968669084","0.07599814800783276","True","2","0.0","0.6124097433532493","0.06966501184681106","False","0.020898787968669084","codex_mcp","Open-loop Workflow","Retained40 open-loop prompt set aligned to retained reference models","Iteration3","iteration3","beginner","beginner","7","7","UB40-T007","UB40-T007","UB40-T007.stl","A thin tapered plate about 120 units long, 40 units wide, and 18 units thick, with a slightly trapezoidal outline.","20","114","data/reference_models/stl/UB40-T007.stl"
"UB40-B008","data/reference_models/stl/UB40-T008.stl","generated_outputs_not_included_in_release/open_loop/iteration3/codex-mcp_per_sample.csv","1","1","0.07753073840497478","0.1793588774994422","True","2","1.0","0.6551764931170115","0.06906745994492369","False","0.07753073840497478","codex_mcp","Open-loop Workflow","Retained40 open-loop prompt set aligned to retained reference models","Iteration3","iteration3","beginner","beginner","8","8","UB40-T008","UB40-T008","UB40-T008.stl","A stepped square pedestal with an overall footprint of about 0.75 by 0.75 units and a total height of about 0.60 units.","22","119","data/reference_models/stl/UB40-T008.stl"
"UB40-B009","data/reference_models/stl/UB40-T009.stl","generated_outputs_not_included_in_release/open_loop/iteration3/codex-mcp_per_sample.csv","1","1","0.05351549312459807","0.23776691801925964","True","0","1.0","0.5663280755562062","0.4545875815626461","True","0.05351549312459807","codex_mcp","Open-loop Workflow","Retained40 open-loop prompt set aligned to retained reference models","Iteration3","iteration3","beginner","beginner","9","9","UB40-T009","UB40-T009","UB40-T009.stl","A thin circular ring with an outer diameter of about 0.56 units and an overall thickness of about 0.1388 units.","20","111","data/reference_models/stl/UB40-T009.stl"
"UB40-B010","data/reference_models/stl/UB40-T010.stl","generated_outputs_not_included_in_release/open_loop/iteration3/codex-mcp_per_sample.csv","1","1","0.02459696672358786","0.07533841701090929","True","2","1.0","0.43866020292167446","0.09387951834576491","False","0.02459696672358786","codex_mcp","Open-loop Workflow","Retained40 open-loop prompt set aligned to retained reference models","Iteration3","iteration3","beginner","beginner","10","10","UB40-T010","UB40-T010","UB40-T010.stl","A narrow U-shaped frame occupying about 0.56 by 0.25 by 0.14 units overall.","13","75","data/reference_models/stl/UB40-T010.stl"
"UB40-B011","data/reference_models/stl/UB40-T011.stl","generated_outputs_not_included_in_release/open_loop/iteration3/codex-mcp_per_sample.csv","1","1","0.00334898802926099","0.010768917382884602","True","2","1.0","0.48930222410139085","0.004248291278959648","True","0.00334898802926099","codex_mcp","Open-loop Workflow","Retained40 open-loop prompt set aligned to retained reference models","Iteration3","iteration3","beginner","beginner","11","11","UB40-T011","UB40-T011","UB40-T011.stl","A very slender straight cylindrical pin about 0.75 units long and about 0.043 units in diameter.","16","96","data/reference_models/stl/UB40-T011.stl"
