"sample_id","ground_truth_path","prediction_path","compile_success","load_success","chamfer_distance","hausdorff_distance","watertight_pred","euler_pred","eecm","sphericity_pred","sphericity_discrepancy","rotation_aligned","alignment_chamfer_distance","model","method_context","prompt_set","round_name","round_slug","level","difficulty","position_in_level_file","position_in_prompt_file","target_code","uid","source_stl","prompt","word_count","char_count","reference_model_path"
"UB40-B001","data/reference_models/stl/UB40-T001.stl","generated_outputs_not_included_in_release/open_loop/iteration3/deepseek_per_sample.csv","1","1","0.025103560096249422","0.06132213176853322","True","2.0","1.0","0.8575169351604589","0.006837248581705868","True","0.025103560096249422","deepseek","Open-loop Workflow","Retained40 open-loop prompt set aligned to retained reference models","Iteration3","iteration3","beginner","beginner","1","1","UB40-T001","UB40-T001","UB40-T001.stl","A vertically oriented circular frustum about 50 units tall, with a larger circular end of about 40 units in diameter and a slightly smaller circular end at the opposite side.","30","174","data/reference_models/stl/UB40-T001.stl"
"UB40-B002","data/reference_models/stl/UB40-T002.stl","generated_outputs_not_included_in_release/open_loop/iteration3/deepseek_per_sample.csv","1","1","0.009937061666595085","0.03060660140770549","True","2.0","1.0","0.12607313496967626","7.951920163240533e-05","True","0.009937061666595085","deepseek","Open-loop Workflow","Retained40 open-loop prompt set aligned to retained reference models","Iteration3","iteration3","beginner","beginner","2","2","UB40-T002","UB40-T002","UB40-T002.stl","A very thin plate with an almost square footprint of about 0.56 by 0.51 units and a thickness of only about 0.0066 units.","23","121","data/reference_models/stl/UB40-T002.stl"
"UB40-B003","data/reference_models/stl/UB40-T003.stl","generated_outputs_not_included_in_release/open_loop/iteration3/deepseek_per_sample.csv","1","1","0.013622101877735255","0.04493070131501786","True","2.0","1.0","0.7950071020482234","0.003654610560413496","False","0.013622101877735255","deepseek","Open-loop Workflow","Retained40 open-loop prompt set aligned to retained reference models","Iteration3","iteration3","beginner","beginner","3","3","UB40-T003","UB40-T003","UB40-T003.stl","A short solid cylinder about 0.56 units in diameter and about 0.23 units high.","14","78","data/reference_models/stl/UB40-T003.stl"
"UB40-B004","data/reference_models/stl/UB40-T004.stl","generated_outputs_not_included_in_release/open_loop/iteration3/deepseek_per_sample.csv","1","1","0.00969713802759191","0.06186700374813676","True","2.0","1.0","0.5499898647036267","0.0008685664443448537","False","0.00969713802759191","deepseek","Open-loop Workflow","Retained40 open-loop prompt set aligned to retained reference models","Iteration3","iteration3","beginner","beginner","4","4","UB40-T004","UB40-T004","UB40-T004.stl","A solid rectangular bar about 0.75 units long, 0.375 units wide, and 0.0938 units thick, with a single semicircular notch removed from the middle of one short side.","28","164","data/reference_models/stl/UB40-T004.stl"
"UB40-B005","data/reference_models/stl/UB40-T005.stl","generated_outputs_not_included_in_release/open_loop/iteration3/deepseek_per_sample.csv","1","1","0.021736726433209133","0.10742471213115751","True","2.0","0.0","0.5527352363097043","0.04065271189453645","True","0.021736726433209133","deepseek","Open-loop Workflow","Retained40 open-loop prompt set aligned to retained reference models","Iteration3","iteration3","beginner","beginner","5","5","UB40-T005","UB40-T005","UB40-T005.stl","A thin triangular mounting plate spanning about 0.56 by 0.54 units in plan and about 0.0758 units thick.","18","104","data/reference_models/stl/UB40-T005.stl"
"UB40-B006","data/reference_models/stl/UB40-T006.stl","generated_outputs_not_included_in_release/open_loop/iteration3/deepseek_per_sample.csv","1","1","0.023155980258472333","0.1292265572983719","True","2.0","0.0","0.5936801127402193","0.059507337662841664","False","0.023155980258472333","deepseek","Open-loop Workflow","Retained40 open-loop prompt set aligned to retained reference models","Iteration3","iteration3","beginner","beginner","6","6","UB40-T006","UB40-T006","UB40-T006.stl","A rectangular block about 80 by 50 by 30 units overall, with one large circular blind recess opened from the top face.","22","118","data/reference_models/stl/UB40-T006.stl"
"UB40-B007","data/reference_models/stl/UB40-T007.stl","generated_outputs_not_included_in_release/open_loop/iteration3/deepseek_per_sample.csv","1","1","0.06019184763929774","0.3018375650012688","False","1.0","0.0","2.526970173614136","1.9842254421076977","True","0.06019184763929774","deepseek","Open-loop Workflow","Retained40 open-loop prompt set aligned to retained reference models","Iteration3","iteration3","beginner","beginner","7","7","UB40-T007","UB40-T007","UB40-T007.stl","A thin tapered plate about 120 units long, 40 units wide, and 18 units thick, with a slightly trapezoidal outline.","20","114","data/reference_models/stl/UB40-T007.stl"
"UB40-B008","data/reference_models/stl/UB40-T008.stl","generated_outputs_not_included_in_release/open_loop/iteration3/deepseek_per_sample.csv","1","1","0.03132774480844706","0.14093075905863656","True","2.0","1.0","0.6507585249976774","0.07348542806425784","False","0.03132774480844706","deepseek","Open-loop Workflow","Retained40 open-loop prompt set aligned to retained reference models","Iteration3","iteration3","beginner","beginner","8","8","UB40-T008","UB40-T008","UB40-T008.stl","A stepped square pedestal with an overall footprint of about 0.75 by 0.75 units and a total height of about 0.60 units.","22","119","data/reference_models/stl/UB40-T008.stl"
"UB40-B009","data/reference_models/stl/UB40-T009.stl","generated_outputs_not_included_in_release/open_loop/iteration3/deepseek_per_sample.csv","1","1","0.05990317175464577","0.23933824403367815","True","0.0","1.0","0.6170989369694982","0.5053584429759381","True","0.05990317175464577","deepseek","Open-loop Workflow","Retained40 open-loop prompt set aligned to retained reference models","Iteration3","iteration3","beginner","beginner","9","9","UB40-T009","UB40-T009","UB40-T009.stl","A thin circular ring with an outer diameter of about 0.56 units and an overall thickness of about 0.1388 units.","20","111","data/reference_models/stl/UB40-T009.stl"
"UB40-B010","data/reference_models/stl/UB40-T010.stl","generated_outputs_not_included_in_release/open_loop/iteration3/deepseek_per_sample.csv","1","1","0.05999315290894197","0.3777966956192797","True","2.0","1.0","0.25218072834872374","0.09259995622718581","True","0.05999315290894197","deepseek","Open-loop Workflow","Retained40 open-loop prompt set aligned to retained reference models","Iteration3","iteration3","beginner","beginner","10","10","UB40-T010","UB40-T010","UB40-T010.stl","A narrow U-shaped frame occupying about 0.56 by 0.25 by 0.14 units overall.","13","75","data/reference_models/stl/UB40-T010.stl"
"UB40-B011","data/reference_models/stl/UB40-T011.stl","generated_outputs_not_included_in_release/open_loop/iteration3/deepseek_per_sample.csv","1","1","0.0033297775684665836","0.010243213606550925","True","2.0","1.0","0.4846454154049535","0.0004085174174777162","False","0.0033297775684665836","deepseek","Open-loop Workflow","Retained40 open-loop prompt set aligned to retained reference models","Iteration3","iteration3","beginner","beginner","11","11","UB40-T011","UB40-T011","UB40-T011.stl","A very slender straight cylindrical pin about 0.75 units long and about 0.043 units in diameter.","16","96","data/reference_models/stl/UB40-T011.stl"
"UB40-B012","data/reference_models/stl/UB40-T012.stl","generated_outputs_not_included_in_release/open_loop/iteration3/deepseek_per_sample.csv","1","1","0.012461857419699497","0.058400370307257254","True","2.0","1.0","0.37804267030981475","0.050685310376410386","False","0.012461857419699497","deepseek","Open-loop Workflow","Retained40 open-loop prompt set aligned to retained reference models","Iteration3","iteration3","beginner","beginner","12","12","UB40-T012","UB40-T012","UB40-T012.stl","A thin plate measuring about 0.56 by 0.47 units in plan and about 0.0375 units thick, with rounded outer corners.","20","113","data/reference_models/stl/UB40-T012.stl"
"UB40-B013","data/reference_models/stl/UB40-T013.stl","generated_outputs_not_included_in_release/open_loop/iteration3/deepseek_per_sample.csv","1","1","0.007165576565862739","0.022477881877651738","True","2.0","1.0","0.6605267173689253","0.0004649682470488914","False","0.007165576565862739","deepseek","Open-loop Workflow","Retained40 open-loop prompt set aligned to retained reference models","Iteration3","iteration3","beginner","beginner","13","13","UB40-T013","UB40-T013","UB40-T013.stl","An elongated capsule-shaped prism about 0.56 units long, 0.124 units wide, and 0.101 units thick.","15","97","data/reference_models/stl/UB40-T013.stl"
"UB40-B014","data/reference_models/stl/UB40-T014.stl","generated_outputs_not_included_in_release/open_loop/iteration3/deepseek_per_sample.csv","1","1","0.12248049271644575","0.4923838457707902","False","0.0","0.0","1.4472497670846611","0.7100942074470681","False","0.12248049271644575","deepseek","Open-loop Workflow","Retained40 open-loop prompt set aligned to retained reference models","Iteration3","iteration3","beginner","beginner","14","14","UB40-T014","UB40-T014","UB40-T014.stl","A thin solid prism extruded from a teardrop profile, fitting within about 0.243 by 0.243 units and having a thickness of about 0.08 units.","24","138","data/reference_models/stl/UB40-T014.stl"
"UB40-B015","data/reference_models/stl/UB40-T015.stl","generated_outputs_not_included_in_release/open_loop/iteration3/deepseek_per_sample.csv","1","1","0.04602782560117791","0.14439928781988984","True","2.0","1.0","0.8398182232952526","0.0585743685452248","True","0.04602782560117791","deepseek","Open-loop Workflow","Retained40 open-loop prompt set aligned to retained reference models","Iteration3","iteration3","beginner","beginner","15","15","UB40-T015","UB40-T015","UB40-T015.stl","A short solid cylinder about 80 units long and about 100 units in diameter, with one plain circular end and one concentric stepped circular end.","25","144","data/reference_models/stl/UB40-T015.stl"
"UB40-B016","data/reference_models/stl/UB40-T016.stl","generated_outputs_not_included_in_release/open_loop/iteration3/deepseek_per_sample.csv","1","1","0.045437449332390724","0.12095946226740913","True","-12.0","1.0","0.4144890056650296","0.011152446164569618","True","0.045437449332390724","deepseek","Open-loop Workflow","Retained40 open-loop prompt set aligned to retained reference models","Iteration3","iteration3","beginner","beginner","16","16","UB40-T016","UB40-T016","UB40-T016.stl","A circular flange-like part with an outer diameter of about 25.4 units and an overall axial depth of about 6.76 units, one large center hole, six smaller bolt holes, and a short coaxial hub on the rear side.","38","207","data/reference_models/stl/UB40-T016.stl"
"UB40-B017","data/reference_models/stl/UB40-T017.stl","generated_outputs_not_included_in_release/open_loop/iteration3/deepseek_per_sample.csv","1","1","0.00964685264576421","0.03409422813041821","True","2.0","0.0","0.39182346615943286","0.013257676881406999","True","0.00964685264576421","deepseek","Open-loop Workflow","Retained40 open-loop prompt set aligned to retained reference models","Iteration3","iteration3","beginner","beginner","17","17","UB40-T017","UB40-T017","UB40-T017.stl","A flat rectangular mounting plate about 250 units long, 150 units wide, and 16 units thick.","16","91","data/reference_models/stl/UB40-T017.stl"
"UB40-B018","data/reference_models/stl/UB40-T018.stl","generated_outputs_not_included_in_release/open_loop/iteration3/deepseek_per_sample.csv","1","1","0.004865789044607071","0.037172873615948156","True","2.0","0.0","0.5752874281383524","0.03143090637533197","True","0.004865789044607071","deepseek","Open-loop Workflow","Retained40 open-loop prompt set aligned to retained reference models","Iteration3","iteration3","beginner","beginner","18","18","UB40-T018","UB40-T018","UB40-T018.stl","A straight cylindrical rod about 163.8 units long and about 16 units in diameter, with flat circular ends.","18","106","data/reference_models/stl/UB40-T018.stl"
"UB40-B019","data/reference_models/stl/UB40-T019.stl","generated_outputs_not_included_in_release/open_loop/iteration3/deepseek_per_sample.csv","1","1","0.022705684764306885","0.16156303231033384","True","2.0","0.0","0.6893397003172681","0.09417016928464594","True","0.022705684764306885","deepseek","Open-loop Workflow","Retained40 open-loop prompt set aligned to retained reference models","Iteration3","iteration3","beginner","beginner","19","19","UB40-T019","UB40-T019","UB40-T019.stl","A plate-like solid about 108 units wide, 76.2 units tall, and 25.4 units thick, with a rectangular lower portion and a broad curved top edge.","25","141","data/reference_models/stl/UB40-T019.stl"
"UB40-B020","data/reference_models/stl/UB40-T020.stl","generated_outputs_not_included_in_release/open_loop/iteration3/deepseek_per_sample.csv","1","1","0.023895762688823777","0.1676019065911298","True","2.0","1.0","0.541699672916862","0.027700736858499275","False","0.023895762688823777","deepseek","Open-loop Workflow","Retained40 open-loop prompt set aligned to retained reference models","Iteration3","iteration3","beginner","beginner","20","20","UB40-T020","UB40-T020","UB40-T020.stl","A tall rectangular block about 76.2 by 50.8 units in footprint and about 152.4 units high, with a deep U-shaped slot cut downward from the top face.","27","148","data/reference_models/stl/UB40-T020.stl"
"UB40-B021","data/reference_models/stl/UB40-T021.stl","generated_outputs_not_included_in_release/open_loop/iteration3/deepseek_per_sample.csv","1","1","0.044736730139275004","0.16672258575203866","True","-2.0","0.0","0.33196165349007833","0.2139122946793915","True","0.044736730139275004","deepseek","Open-loop Workflow","Retained40 open-loop prompt set aligned to retained reference models","Iteration3","iteration3","beginner","beginner","21","21","UB40-T021","UB40-T021","UB40-T021.stl","A thin-walled bracket-like frame about 120 units long, 40 units high, and 21 units deep, with two end plates, a sloped top connection, a large open central window, a middle panel with a round hole, and small mounting holes.","39","223","data/reference_models/stl/UB40-T021.stl"
"UB40-B022","data/reference_models/stl/UB40-T022.stl","generated_outputs_not_included_in_release/open_loop/iteration3/deepseek_per_sample.csv","1","1","0.02170683021668954","0.17587470401182748","True","0.0","1.0","0.3386302316384111","0.0035518568102422265","True","0.02170683021668954","deepseek","Open-loop Workflow","Retained40 open-loop prompt set aligned to retained reference models","Iteration3","iteration3","beginner","beginner","22","22","UB40-T022","UB40-T022","UB40-T022.stl","A thin three-lobed ring-like plate about 300 by 277 units in plan and about 15 units thick, with a circular hole in the center.","24","127","data/reference_models/stl/UB40-T022.stl"
"UB40-B023","data/reference_models/stl/UB40-T023.stl","generated_outputs_not_included_in_release/open_loop/iteration3/deepseek_per_sample.csv","1","1","0.026755646641960902","0.08736435082114084","True","-12.0","1.0","0.4291091624213502","0.2453781318155174","True","0.026755646641960902","deepseek","Open-loop Workflow","Retained40 open-loop prompt set aligned to retained reference models","Iteration3","iteration3","beginner","beginner","23","23","UB40-T023","UB40-T023","UB40-T023.stl","A thin stepped mounting plate about 108 units long, 53.1 units wide, and 10.7 units thick, with one large central hole, four smaller holes around it, and one extra hole near each end.","33","183","data/reference_models/stl/UB40-T023.stl"
