"sample_id","ground_truth_path","prediction_path","compile_success","load_success","chamfer_distance","hausdorff_distance","watertight_pred","euler_pred","eecm","sphericity_pred","sphericity_discrepancy","rotation_aligned","alignment_chamfer_distance","model","method_context","prompt_set","round_name","round_slug","level","difficulty","position_in_level_file","position_in_prompt_file","target_code","uid","source_stl","prompt","word_count","char_count","reference_model_path"
"UB40-B001","data/reference_models/stl/UB40-T001.stl","generated_outputs_not_included_in_release/open_loop/iteration3/text2cad_per_sample.csv","1","1","0.28170688106955133","0.6341316019029406","True","0.0","0.0","0.09831370760705549","0.7660404761351093","True","0.28170688106955133","text2cad","Open-loop Workflow","Retained40 open-loop prompt set aligned to retained reference models","Iteration3","iteration3","beginner","beginner","1","1","UB40-T001","UB40-T001","UB40-T001.stl","A vertically oriented circular frustum about 50 units tall, with a larger circular end of about 40 units in diameter and a slightly smaller circular end at the opposite side.","30","174","data/reference_models/stl/UB40-T001.stl"
"UB40-B002","data/reference_models/stl/UB40-T002.stl","generated_outputs_not_included_in_release/open_loop/iteration3/text2cad_per_sample.csv","1","1","0.017654756080503282","0.1265362183961694","True","2.0","1.0","0.12915361372756048","0.0031599979595166305","False","0.017654756080503282","text2cad","Open-loop Workflow","Retained40 open-loop prompt set aligned to retained reference models","Iteration3","iteration3","beginner","beginner","2","2","UB40-T002","UB40-T002","UB40-T002.stl","A very thin plate with an almost square footprint of about 0.56 by 0.51 units and a thickness of only about 0.0066 units.","23","121","data/reference_models/stl/UB40-T002.stl"
"UB40-B003","data/reference_models/stl/UB40-T003.stl","generated_outputs_not_included_in_release/open_loop/iteration3/text2cad_per_sample.csv","1","1","0.21841110351880627","0.5078564946541018","True","2.0","1.0","0.44003990218119987","0.3513125893066101","True","0.21841110351880627","text2cad","Open-loop Workflow","Retained40 open-loop prompt set aligned to retained reference models","Iteration3","iteration3","beginner","beginner","3","3","UB40-T003","UB40-T003","UB40-T003.stl","A short solid cylinder about 0.56 units in diameter and about 0.23 units high.","14","78","data/reference_models/stl/UB40-T003.stl"
"UB40-B004","data/reference_models/stl/UB40-T004.stl","generated_outputs_not_included_in_release/open_loop/iteration3/text2cad_per_sample.csv","1","1","0.16890876457761747","0.5311073015740289","True","2.0","1.0","0.7616184731724441","0.21076004202447263","True","0.16890876457761747","text2cad","Open-loop Workflow","Retained40 open-loop prompt set aligned to retained reference models","Iteration3","iteration3","beginner","beginner","4","4","UB40-T004","UB40-T004","UB40-T004.stl","A solid rectangular bar about 0.75 units long, 0.375 units wide, and 0.0938 units thick, with a single semicircular notch removed from the middle of one short side.","28","164","data/reference_models/stl/UB40-T004.stl"
"UB40-B005","data/reference_models/stl/UB40-T005.stl","generated_outputs_not_included_in_release/open_loop/iteration3/text2cad_per_sample.csv","1","1","0.07956340185610432","0.563540087235882","True","2.0","0.0","0.5633045721390474","0.051222047723879505","True","0.07956340185610432","text2cad","Open-loop Workflow","Retained40 open-loop prompt set aligned to retained reference models","Iteration3","iteration3","beginner","beginner","5","5","UB40-T005","UB40-T005","UB40-T005.stl","A thin triangular mounting plate spanning about 0.56 by 0.54 units in plan and about 0.0758 units thick.","18","104","data/reference_models/stl/UB40-T005.stl"
"UB40-B006","data/reference_models/stl/UB40-T006.stl","generated_outputs_not_included_in_release/open_loop/iteration3/text2cad_per_sample.csv","1","1","0.08558001357814701","0.47602993516934144","True","2.0","0.0","0.7453808464026365","0.09219339599957554","True","0.08558001357814701","text2cad","Open-loop Workflow","Retained40 open-loop prompt set aligned to retained reference models","Iteration3","iteration3","beginner","beginner","6","6","UB40-T006","UB40-T006","UB40-T006.stl","A rectangular block about 80 by 50 by 30 units overall, with one large circular blind recess opened from the top face.","22","118","data/reference_models/stl/UB40-T006.stl"
"UB40-B007","data/reference_models/stl/UB40-T007.stl","generated_outputs_not_included_in_release/open_loop/iteration3/text2cad_per_sample.csv","1","1","0.04697302228951789","0.08943909539453498","True","2.0","0.0","0.17799318413803944","0.36475154736839877","True","0.04697302228951789","text2cad","Open-loop Workflow","Retained40 open-loop prompt set aligned to retained reference models","Iteration3","iteration3","beginner","beginner","7","7","UB40-T007","UB40-T007","UB40-T007.stl","A thin tapered plate about 120 units long, 40 units wide, and 18 units thick, with a slightly trapezoidal outline.","20","114","data/reference_models/stl/UB40-T007.stl"
"UB40-B008","data/reference_models/stl/UB40-T008.stl","generated_outputs_not_included_in_release/open_loop/iteration3/text2cad_per_sample.csv","1","1","0.13776973464256131","0.564446461609367","True","2.0","1.0","0.6670119084311089","0.05723204463082632","True","0.13776973464256131","text2cad","Open-loop Workflow","Retained40 open-loop prompt set aligned to retained reference models","Iteration3","iteration3","beginner","beginner","8","8","UB40-T008","UB40-T008","UB40-T008.stl","A stepped square pedestal with an overall footprint of about 0.75 by 0.75 units and a total height of about 0.60 units.","22","119","data/reference_models/stl/UB40-T008.stl"
"UB40-B009","data/reference_models/stl/UB40-T009.stl","generated_outputs_not_included_in_release/open_loop/iteration3/text2cad_per_sample.csv","1","1","0.011195720977192378","0.04003923835984499","True","0.0","1.0","0.16788607230852756","0.056145578314967456","True","0.011195720977192378","text2cad","Open-loop Workflow","Retained40 open-loop prompt set aligned to retained reference models","Iteration3","iteration3","beginner","beginner","9","9","UB40-T009","UB40-T009","UB40-T009.stl","A thin circular ring with an outer diameter of about 0.56 units and an overall thickness of about 0.1388 units.","20","111","data/reference_models/stl/UB40-T009.stl"
"UB40-B010","data/reference_models/stl/UB40-T010.stl","generated_outputs_not_included_in_release/open_loop/iteration3/text2cad_per_sample.csv","1","1","0.060255373521933685","0.3649381016928976","True","2.0","1.0","0.650834341130183","0.30605365655427347","True","0.060255373521933685","text2cad","Open-loop Workflow","Retained40 open-loop prompt set aligned to retained reference models","Iteration3","iteration3","beginner","beginner","10","10","UB40-T010","UB40-T010","UB40-T010.stl","A narrow U-shaped frame occupying about 0.56 by 0.25 by 0.14 units overall.","13","75","data/reference_models/stl/UB40-T010.stl"
