"sample_id","ground_truth_path","prediction_path","compile_success","load_success","chamfer_distance","hausdorff_distance","watertight_pred","euler_pred","eecm","sphericity_pred","sphericity_discrepancy","model","method_context","prompt_set","round_name","round_slug","level","difficulty","position_in_level_file","position_in_prompt_file","target_code","uid","source_stl","prompt","word_count","char_count","reference_model_path"
"UB40-B001","data/reference_models/stl/UB40-T001.stl","generated_outputs_not_included_in_release/open_loop/one-shot/deepseek_per_sample.csv","0","0","","","","","","","","deepseek","Open-loop Workflow","Retained40 open-loop prompt set aligned to retained reference models","One-shot","one_shot","beginner","beginner","1","1","UB40-T001","UB40-T001","UB40-T001.stl","A tall circular frustum with a flat circular top and bottom, slightly wider at the top than at the base.","20","104","data/reference_models/stl/UB40-T001.stl"
"UB40-B002","data/reference_models/stl/UB40-T002.stl","generated_outputs_not_included_in_release/open_loop/one-shot/deepseek_per_sample.csv","1","1","0.012701344978314393","0.05955425399363792","True","2.0","1.0","0.17130660963898672","0.04531299387094287","deepseek","Open-loop Workflow","Retained40 open-loop prompt set aligned to retained reference models","One-shot","one_shot","beginner","beginner","2","2","UB40-T002","UB40-T002","UB40-T002.stl","A very thin square plate with flat top and bottom faces and sharp straight edges.","15","81","data/reference_models/stl/UB40-T002.stl"
"UB40-B003","data/reference_models/stl/UB40-T003.stl","generated_outputs_not_included_in_release/open_loop/one-shot/deepseek_per_sample.csv","1","1","0.05133567566779983","0.08546298248845423","True","2.0","1.0","0.6933852148437483","0.09796727664406168","deepseek","Open-loop Workflow","Retained40 open-loop prompt set aligned to retained reference models","One-shot","one_shot","beginner","beginner","3","3","UB40-T003","UB40-T003","UB40-T003.stl","A short solid cylinder with a flat circular top and bottom.","11","59","data/reference_models/stl/UB40-T003.stl"
"UB40-B004","data/reference_models/stl/UB40-T004.stl","generated_outputs_not_included_in_release/open_loop/one-shot/deepseek_per_sample.csv","1","1","0.03468236501285889","0.07972517794038232","True","2.0","1.0","0.6587262907605599","0.10786785961258838","deepseek","Open-loop Workflow","Retained40 open-loop prompt set aligned to retained reference models","One-shot","one_shot","beginner","beginner","4","4","UB40-T004","UB40-T004","UB40-T004.stl","A rectangular bar with a semicircular notch cut into one short side.","12","68","data/reference_models/stl/UB40-T004.stl"
"UB40-B005","data/reference_models/stl/UB40-T005.stl","generated_outputs_not_included_in_release/open_loop/one-shot/deepseek_per_sample.csv","1","1","0.12414378252044372","0.5580049443861549","True","-4.0","1.0","0.35620060940494264","0.15588191501022525","deepseek","Open-loop Workflow","Retained40 open-loop prompt set aligned to retained reference models","One-shot","one_shot","beginner","beginner","5","5","UB40-T005","UB40-T005","UB40-T005.stl","A flat triangular mounting plate with three circular holes near its corners.","12","76","data/reference_models/stl/UB40-T005.stl"
"UB40-B006","data/reference_models/stl/UB40-T006.stl","generated_outputs_not_included_in_release/open_loop/one-shot/deepseek_per_sample.csv","1","1","0.05425241345662854","0.12168280581649639","True","2.0","0.0","0.5560134728056191","0.09717397759744184","deepseek","Open-loop Workflow","Retained40 open-loop prompt set aligned to retained reference models","One-shot","one_shot","beginner","beginner","6","6","UB40-T006","UB40-T006","UB40-T006.stl","A rectangular block with a circular recess on its top face.","11","59","data/reference_models/stl/UB40-T006.stl"
"UB40-B007","data/reference_models/stl/UB40-T007.stl","generated_outputs_not_included_in_release/open_loop/one-shot/deepseek_per_sample.csv","1","1","0.13396658230281974","0.38547585363048503","True","-4.0","1.0","0.3554574844843189","0.1872872470221193","deepseek","Open-loop Workflow","Retained40 open-loop prompt set aligned to retained reference models","One-shot","one_shot","beginner","beginner","7","7","UB40-T007","UB40-T007","UB40-T007.stl","A thin tapered plate with three circular holes in a row.","11","56","data/reference_models/stl/UB40-T007.stl"
"UB40-B008","data/reference_models/stl/UB40-T008.stl","generated_outputs_not_included_in_release/open_loop/one-shot/deepseek_per_sample.csv","1","1","0.09278448289145906","0.45039578452755846","False","1.0","0.0","0.8941542363838633","0.16991028332192804","deepseek","Open-loop Workflow","Retained40 open-loop prompt set aligned to retained reference models","One-shot","one_shot","beginner","beginner","8","8","UB40-T008","UB40-T008","UB40-T008.stl","A square pedestal with a stepped base and a pyramid-shaped top.","11","63","data/reference_models/stl/UB40-T008.stl"
"UB40-B009","data/reference_models/stl/UB40-T009.stl","generated_outputs_not_included_in_release/open_loop/one-shot/deepseek_per_sample.csv","1","1","0.03656633070431759","0.09549598660033494","True","0.0","1.0","0.3968434039293207","0.2851029099357606","deepseek","Open-loop Workflow","Retained40 open-loop prompt set aligned to retained reference models","One-shot","one_shot","beginner","beginner","9","9","UB40-T009","UB40-T009","UB40-T009.stl","A thin circular ring with a hollow center.","8","42","data/reference_models/stl/UB40-T009.stl"
"UB40-B010","data/reference_models/stl/UB40-T010.stl","generated_outputs_not_included_in_release/open_loop/one-shot/deepseek_per_sample.csv","1","1","0.1359146992409534","0.45631840413390834","True","2.0","1.0","0.33048408935683593","0.014296595219073616","deepseek","Open-loop Workflow","Retained40 open-loop prompt set aligned to retained reference models","One-shot","one_shot","beginner","beginner","10","10","UB40-T010","UB40-T010","UB40-T010.stl","A thin U-shaped frame with short feet at both lower ends.","11","57","data/reference_models/stl/UB40-T010.stl"
