"sample_id","ground_truth_path","prediction_path","compile_success","load_success","chamfer_distance","hausdorff_distance","watertight_pred","euler_pred","eecm","sphericity_pred","sphericity_discrepancy","rotation_aligned","alignment_chamfer_distance","model","method_context","prompt_set","round_name","round_slug","level","difficulty","position_in_level_file","position_in_prompt_file","target_code","uid","source_stl","prompt","word_count","char_count","reference_model_path"
"UB40-B001","data/reference_models/stl/UB40-T001.stl","generated_outputs_not_included_in_release/open_loop/one-shot/text-to-cadquery_per_sample.csv","1","1","0.14903060104132976","0.5835839990467347","True","0.0","0.0","0.20579487270004715","0.6585593110421176","True","0.14903060104132976","cadquery","Open-loop Workflow","Retained40 open-loop prompt set aligned to retained reference models","One-shot","one_shot","beginner","beginner","1","1","UB40-T001","UB40-T001","UB40-T001.stl","A tall circular frustum with a flat circular top and bottom, slightly wider at the top than at the base.","20","104","data/reference_models/stl/UB40-T001.stl"
"UB40-B002","data/reference_models/stl/UB40-T002.stl","generated_outputs_not_included_in_release/open_loop/one-shot/text-to-cadquery_per_sample.csv","1","1","0.01486058340287792","0.05820152962408269","True","2.0","1.0","0.2107377919601894","0.08474417619214555","False","0.01486058340287792","cadquery","Open-loop Workflow","Retained40 open-loop prompt set aligned to retained reference models","One-shot","one_shot","beginner","beginner","2","2","UB40-T002","UB40-T002","UB40-T002.stl","A very thin square plate with flat top and bottom faces and sharp straight edges.","15","81","data/reference_models/stl/UB40-T002.stl"
"UB40-B003","data/reference_models/stl/UB40-T003.stl","generated_outputs_not_included_in_release/open_loop/one-shot/text-to-cadquery_per_sample.csv","1","1","0.10843282802428131","0.16916917143114546","True","2.0","1.0","0.44323300044097036","0.3481194910468396","True","0.10843282802428131","cadquery","Open-loop Workflow","Retained40 open-loop prompt set aligned to retained reference models","One-shot","one_shot","beginner","beginner","3","3","UB40-T003","UB40-T003","UB40-T003.stl","A short solid cylinder with a flat circular top and bottom.","11","59","data/reference_models/stl/UB40-T003.stl"
"UB40-B004","data/reference_models/stl/UB40-T004.stl","generated_outputs_not_included_in_release/open_loop/one-shot/text-to-cadquery_per_sample.csv","1","1","0.05303135168130661","0.25540019902138617","True","2.0","1.0","0.5483309420619509","0.002527489086020629","True","0.05303135168130661","cadquery","Open-loop Workflow","Retained40 open-loop prompt set aligned to retained reference models","One-shot","one_shot","beginner","beginner","4","4","UB40-T004","UB40-T004","UB40-T004.stl","A rectangular bar with a semicircular notch cut into one short side.","12","68","data/reference_models/stl/UB40-T004.stl"
"UB40-B005","data/reference_models/stl/UB40-T005.stl","generated_outputs_not_included_in_release/open_loop/one-shot/text-to-cadquery_per_sample.csv","1","1","0.07743665420467165","0.35477330696310816","True","2.0","0.0","0.2417768235036504","0.2703057009115175","True","0.07743665420467165","cadquery","Open-loop Workflow","Retained40 open-loop prompt set aligned to retained reference models","One-shot","one_shot","beginner","beginner","5","5","UB40-T005","UB40-T005","UB40-T005.stl","A flat triangular mounting plate with three circular holes near its corners.","12","76","data/reference_models/stl/UB40-T005.stl"
"UB40-B006","data/reference_models/stl/UB40-T006.stl","generated_outputs_not_included_in_release/open_loop/one-shot/text-to-cadquery_per_sample.csv","1","1","0.032813117646843665","0.12213751538987178","True","0.0","1.0","0.5669061156200357","0.08628133478302524","True","0.032813117646843665","cadquery","Open-loop Workflow","Retained40 open-loop prompt set aligned to retained reference models","One-shot","one_shot","beginner","beginner","6","6","UB40-T006","UB40-T006","UB40-T006.stl","A rectangular block with a circular recess on its top face.","11","59","data/reference_models/stl/UB40-T006.stl"
"UB40-B007","data/reference_models/stl/UB40-T007.stl","generated_outputs_not_included_in_release/open_loop/one-shot/text-to-cadquery_per_sample.csv","1","1","0.09630355431451086","0.5724399615889721","True","0.0","0.0","0.18286640852955327","0.35987832297688493","True","0.09630355431451086","cadquery","Open-loop Workflow","Retained40 open-loop prompt set aligned to retained reference models","One-shot","one_shot","beginner","beginner","7","7","UB40-T007","UB40-T007","UB40-T007.stl","A thin tapered plate with three circular holes in a row.","11","56","data/reference_models/stl/UB40-T007.stl"
"UB40-B008","data/reference_models/stl/UB40-T008.stl","generated_outputs_not_included_in_release/open_loop/one-shot/text-to-cadquery_per_sample.csv","0","0","","","","","","","","","","cadquery","Open-loop Workflow","Retained40 open-loop prompt set aligned to retained reference models","One-shot","one_shot","beginner","beginner","8","8","UB40-T008","UB40-T008","UB40-T008.stl","A square pedestal with a stepped base and a pyramid-shaped top.","11","63","data/reference_models/stl/UB40-T008.stl"
"UB40-B009","data/reference_models/stl/UB40-T009.stl","generated_outputs_not_included_in_release/open_loop/one-shot/text-to-cadquery_per_sample.csv","1","1","0.06776687531810907","0.2635789199545589","True","0.0","1.0","0.43759801291999745","0.32585751892643733","True","0.06776687531810907","cadquery","Open-loop Workflow","Retained40 open-loop prompt set aligned to retained reference models","One-shot","one_shot","beginner","beginner","9","9","UB40-T009","UB40-T009","UB40-T009.stl","A thin circular ring with a hollow center.","8","42","data/reference_models/stl/UB40-T009.stl"
"UB40-B010","data/reference_models/stl/UB40-T010.stl","generated_outputs_not_included_in_release/open_loop/one-shot/text-to-cadquery_per_sample.csv","1","1","0.09088166210399905","0.4066079537896554","True","2.0","1.0","0.16228103763870577","0.18249964693720377","True","0.09088166210399905","cadquery","Open-loop Workflow","Retained40 open-loop prompt set aligned to retained reference models","One-shot","one_shot","beginner","beginner","10","10","UB40-T010","UB40-T010","UB40-T010.stl","A thin U-shaped frame with short feet at both lower ends.","11","57","data/reference_models/stl/UB40-T010.stl"
