"method","cohort","round","success","attempts","compile_rate","per_sample_csv"
"Text2CAD","Open-loop Workflow","One-shot","114","120","0.950000","results/raw_metrics/geometry/per_sample/open_loop/one-shot/text2cad_per_sample.csv"
"Text2CAD","Open-loop Workflow","Iteration1","114","120","0.950000","results/raw_metrics/geometry/per_sample/open_loop/iteration1/text2cad_per_sample.csv"
"Text2CAD","Open-loop Workflow","Iteration2","117","120","0.975000","results/raw_metrics/geometry/per_sample/open_loop/iteration2/text2cad_per_sample.csv"
"Text2CAD","Open-loop Workflow","Iteration3","115","120","0.958333","results/raw_metrics/geometry/per_sample/open_loop/iteration3/text2cad_per_sample.csv"
"Text-to-CadQuery","Open-loop Workflow","One-shot","89","120","0.741667","results/raw_metrics/geometry/per_sample/open_loop/one-shot/text-to-cadquery_per_sample.csv"
"Text-to-CadQuery","Open-loop Workflow","Iteration1","88","120","0.733333","results/raw_metrics/geometry/per_sample/open_loop/iteration1/text-to-cadquery_per_sample.csv"
"Text-to-CadQuery","Open-loop Workflow","Iteration2","95","120","0.791667","results/raw_metrics/geometry/per_sample/open_loop/iteration2/text-to-cadquery_per_sample.csv"
"Text-to-CadQuery","Open-loop Workflow","Iteration3","101","120","0.841667","results/raw_metrics/geometry/per_sample/open_loop/iteration3/text-to-cadquery_per_sample.csv"
"DeepSeek","Open-loop Workflow","One-shot","91","120","0.758333","results/raw_metrics/geometry/per_sample/open_loop/one-shot/deepseek_per_sample.csv"
"DeepSeek","Open-loop Workflow","Iteration1","97","120","0.808333","results/raw_metrics/geometry/per_sample/open_loop/iteration1/deepseek_per_sample.csv"
"DeepSeek","Open-loop Workflow","Iteration2","88","120","0.733333","results/raw_metrics/geometry/per_sample/open_loop/iteration2/deepseek_per_sample.csv"
"DeepSeek","Open-loop Workflow","Iteration3","94","120","0.783333","results/raw_metrics/geometry/per_sample/open_loop/iteration3/deepseek_per_sample.csv"
"Codex-MCP","Open-loop Workflow","One-shot","120","120","1.000000","results/raw_metrics/geometry/per_sample/open_loop/one-shot/codex-mcp_per_sample.csv"
"Codex-MCP","Open-loop Workflow","Iteration1","120","120","1.000000","results/raw_metrics/geometry/per_sample/open_loop/iteration1/codex-mcp_per_sample.csv"
"Codex-MCP","Open-loop Workflow","Iteration2","120","120","1.000000","results/raw_metrics/geometry/per_sample/open_loop/iteration2/codex-mcp_per_sample.csv"
"Codex-MCP","Open-loop Workflow","Iteration3","120","120","1.000000","results/raw_metrics/geometry/per_sample/open_loop/iteration3/codex-mcp_per_sample.csv"
"ChatGPT","Close-loop Workflow","One-shot","108","120","0.900000","results/raw_metrics/geometry/per_sample/close_loop/one-shot/chatgpt_per_sample.csv"
"ChatGPT","Close-loop Workflow","Iteration1","116","120","0.966667","results/raw_metrics/geometry/per_sample/close_loop/iteration1/chatgpt_per_sample.csv"
"ChatGPT","Close-loop Workflow","Iteration2","118","120","0.983333","results/raw_metrics/geometry/per_sample/close_loop/iteration2/chatgpt_per_sample.csv"
"ChatGPT","Close-loop Workflow","Iteration3","118","120","0.983333","results/raw_metrics/geometry/per_sample/close_loop/iteration3/chatgpt_per_sample.csv"
"Claude","Close-loop Workflow","One-shot","112","120","0.933333","results/raw_metrics/geometry/per_sample/close_loop/one-shot/claude_per_sample.csv"
"Claude","Close-loop Workflow","Iteration1","118","120","0.983333","results/raw_metrics/geometry/per_sample/close_loop/iteration1/claude_per_sample.csv"
"Claude","Close-loop Workflow","Iteration2","120","120","1.000000","results/raw_metrics/geometry/per_sample/close_loop/iteration2/claude_per_sample.csv"
"Claude","Close-loop Workflow","Iteration3","120","120","1.000000","results/raw_metrics/geometry/per_sample/close_loop/iteration3/claude_per_sample.csv"
"Gemini","Close-loop Workflow","One-shot","94","120","0.783333","results/raw_metrics/geometry/per_sample/close_loop/one-shot/gemini_per_sample.csv"
"Gemini","Close-loop Workflow","Iteration1","110","120","0.916667","results/raw_metrics/geometry/per_sample/close_loop/iteration1/gemini_per_sample.csv"
"Gemini","Close-loop Workflow","Iteration2","113","120","0.941667","results/raw_metrics/geometry/per_sample/close_loop/iteration2/gemini_per_sample.csv"
"Gemini","Close-loop Workflow","Iteration3","116","120","0.966667","results/raw_metrics/geometry/per_sample/close_loop/iteration3/gemini_per_sample.csv"
"Qwen","Close-loop Workflow","One-shot","118","120","0.983333","results/raw_metrics/geometry/per_sample/close_loop/one-shot/qwen_per_sample.csv"
"Qwen","Close-loop Workflow","Iteration1","120","120","1.000000","results/raw_metrics/geometry/per_sample/close_loop/iteration1/qwen_per_sample.csv"
"Qwen","Close-loop Workflow","Iteration2","120","120","1.000000","results/raw_metrics/geometry/per_sample/close_loop/iteration2/qwen_per_sample.csv"
"Qwen","Close-loop Workflow","Iteration3","120","120","1.000000","results/raw_metrics/geometry/per_sample/close_loop/iteration3/qwen_per_sample.csv"
